territorio,usuario,total_tweets,tweets_salud_mental,proporcion_salud_mental,clasificacion_usuario
Argentina,USER_09f924bb1e,25,0,0.0,control
Argentina,USER_6f731de117,25,2,0.08,control
Argentina,USER_1209e93376,25,0,0.0,control
Argentina,USER_8c1073b4dd,25,0,0.0,control
Argentina,USER_e9d20fde46,25,0,0.0,control
Argentina,USER_99b701252d,25,0,0.0,control
Argentina,USER_7082188ddb,25,0,0.0,control
Argentina,USER_d5f3e5eaa7,25,0,0.0,control
Argentina,USER_30cbdf2a24,7,0,0.0,control
Argentina,USER_f8d3fc2665,25,1,0.04,control
Argentina,USER_30b5e62c77,25,0,0.0,control
Argentina,USER_f2ef7f6b75,25,0,0.0,control
Argentina,USER_f4b0f5ed2a,25,0,0.0,control
Argentina,USER_33daf89b57,25,3,0.12,seleccionado
Argentina,USER_5c66cba93a,25,0,0.0,control
Argentina,USER_a3f495b839,25,0,0.0,control
Argentina,USER_d51c982857,25,0,0.0,control
Argentina,USER_06a1cb9ada,25,0,0.0,control
Argentina,USER_534e4766d6,25,0,0.0,control
Argentina,USER_bc1f1d75c7,25,4,0.16,seleccionado
Argentina,USER_530b6ffa0d,25,1,0.04,control
Argentina,USER_8612f245af,25,0,0.0,control
Argentina,USER_582a1fed5b,25,0,0.0,control
Argentina,USER_c7c306264e,25,0,0.0,control
Argentina,USER_8b8e21ba69,25,0,0.0,control
Argentina,USER_015b1b1992,25,0,0.0,control
Argentina,USER_2a180331ad,25,0,0.0,control
Argentina,USER_2b312bc9f6,25,0,0.0,control
Argentina,USER_fb476a85d7,25,0,0.0,control
Argentina,USER_e546987438,25,0,0.0,control
Argentina,USER_7aadf32685,25,0,0.0,control
Argentina,USER_f481e9fe74,25,0,0.0,control
Argentina,USER_4d8bc74054,25,0,0.0,control
Argentina,USER_c693e04717,25,3,0.12,seleccionado
Argentina,USER_5df5158ead,25,0,0.0,control
Argentina,USER_23d4295c94,2,2,1.0,seleccionado
Argentina,USER_4f5f364d0f,25,1,0.04,control
Argentina,USER_975095f695,4,0,0.0,control
Argentina,USER_d32a90970e,25,0,0.0,control
Argentina,USER_77a4e85799,25,0,0.0,control
Argentina,USER_b469e512ae,25,0,0.0,control
Argentina,USER_95dadab0c4,25,0,0.0,control
Argentina,USER_9ee4a49776,25,0,0.0,control
Argentina,USER_abf5ebbfd8,25,1,0.04,control
Argentina,USER_17b18481d8,25,0,0.0,control
Argentina,USER_f400d67dd3,25,0,0.0,control
Argentina,USER_f6a1d47f53,25,1,0.04,control
Argentina,USER_313f52cdb0,25,0,0.0,control
Argentina,USER_e503b244a9,25,0,0.0,control
Argentina,USER_617fafd3cb,25,1,0.04,control
Argentina,USER_effe7a275f,25,0,0.0,control
Argentina,USER_b2ef79d44f,25,0,0.0,control
Argentina,USER_68b919cb73,25,0,0.0,control
Argentina,USER_e326638b6b,25,0,0.0,control
Argentina,USER_ed82c0e642,25,0,0.0,control
Argentina,USER_3ee9139f68,25,0,0.0,control
Argentina,USER_b064c3dd57,25,0,0.0,control
Argentina,USER_6f3a3f4cf2,25,0,0.0,control
Argentina,USER_c1d709c2d3,25,0,0.0,control
Argentina,USER_d3586b84b6,25,0,0.0,control
Argentina,USER_3de66a3b22,25,0,0.0,control
Argentina,USER_f0f2f9decf,20,0,0.0,control
Argentina,USER_a60d8eb00d,25,2,0.08,control
Argentina,USER_40a6af7a24,25,0,0.0,control
Argentina,USER_f3572aa6de,25,3,0.12,seleccionado
Argentina,USER_02b380e2a9,25,0,0.0,control
Argentina,USER_0662619d0c,25,0,0.0,control
Argentina,USER_5494cfaf4f,25,3,0.12,seleccionado
Argentina,USER_f506ca307c,25,0,0.0,control
Argentina,USER_c39c27059f,25,0,0.0,control
Argentina,USER_b70f2c98e5,25,0,0.0,control
Argentina,USER_d6863106ec,25,0,0.0,control
Argentina,USER_03790485c5,25,0,0.0,control
Argentina,USER_94ef0015a4,25,0,0.0,control
Argentina,USER_c7aba9eed5,25,0,0.0,control
Argentina,USER_40178ce623,25,0,0.0,control
Argentina,USER_1e3bd341d3,25,0,0.0,control
Argentina,USER_215eaad8b5,25,2,0.08,control
Argentina,USER_eaf6bce527,25,0,0.0,control
Argentina,USER_1132e5a1ac,3,0,0.0,control
Argentina,USER_3c6dfe3418,25,0,0.0,control
Argentina,USER_47b03a8e1b,25,0,0.0,control
Argentina,USER_0968e7c253,25,0,0.0,control
Argentina,USER_d89c5674e4,25,0,0.0,control
Argentina,USER_3cf0260e10,25,0,0.0,control
Argentina,USER_d5127bd3b2,25,0,0.0,control
Argentina,USER_fd5e263bab,25,1,0.04,control
Argentina,USER_a7389aa870,25,0,0.0,control
Argentina,USER_6229c4db16,25,0,0.0,control
Argentina,USER_ca7dda60f3,25,0,0.0,control
Argentina,USER_c5676fe8ab,25,0,0.0,control
Argentina,USER_9d42accc2b,25,0,0.0,control
Argentina,USER_4fc74d2a19,25,0,0.0,control
Argentina,USER_a23bc76a04,25,0,0.0,control
Argentina,USER_a074cb9d29,25,0,0.0,control
Argentina,USER_0a2d21f827,25,0,0.0,control
Argentina,USER_c422696443,25,0,0.0,control
Argentina,USER_9dc47a34e6,25,0,0.0,control
Argentina,USER_4753da14ae,25,0,0.0,control
Argentina,USER_1b284a23c1,25,0,0.0,control
Argentina,USER_e3e226f66a,25,0,0.0,control
Argentina,USER_9270ee732d,25,0,0.0,control
Argentina,USER_a6b874cfd3,25,0,0.0,control
Argentina,USER_13f2d14d1b,25,1,0.04,control
Argentina,USER_9f0d166c1b,25,0,0.0,control
Argentina,USER_ca7e7b7edc,25,0,0.0,control
Argentina,USER_a593056479,25,3,0.12,seleccionado
Argentina,USER_1c52c3ca3b,25,0,0.0,control
Argentina,USER_7f9a41fdf0,25,1,0.04,control
Argentina,USER_fc2bab39dd,25,0,0.0,control
Argentina,USER_07bfe68fa7,25,0,0.0,control
Argentina,USER_58a94edad4,25,0,0.0,control
Argentina,USER_2ae8ba3476,25,0,0.0,control
Argentina,USER_d655fc8144,25,0,0.0,control
Argentina,USER_f2d4b61f24,25,0,0.0,control
Argentina,USER_9cfb56ed29,25,4,0.16,seleccionado
Argentina,USER_a2a91f0084,25,0,0.0,control
Argentina,USER_7adf27faaf,25,4,0.16,seleccionado
Argentina,USER_cba3d3a26a,25,0,0.0,control
Argentina,USER_f8a3a24e1a,7,0,0.0,control
Argentina,USER_3470c6f077,25,0,0.0,control
Argentina,USER_19469b5c13,25,3,0.12,seleccionado
Argentina,USER_16db199e21,25,0,0.0,control
Argentina,USER_bdd817e5ea,25,0,0.0,control
Argentina,USER_4d9209e5fc,25,0,0.0,control
Argentina,USER_6500351e1f,25,0,0.0,control
Argentina,USER_d17b1797c2,25,1,0.04,control
Argentina,USER_e2b04cb1e1,25,0,0.0,control
Argentina,USER_83c71e2424,25,0,0.0,control
Argentina,USER_07a7767dc1,14,1,0.071,control
Argentina,USER_e56700286b,25,0,0.0,control
Argentina,USER_cd8c51b857,25,3,0.12,seleccionado
Argentina,USER_7eb0381df3,25,0,0.0,control
Argentina,USER_956204cb53,25,3,0.12,seleccionado
Argentina,USER_1834c58919,25,0,0.0,control
Argentina,USER_d7d008b14a,25,2,0.08,control
Argentina,USER_31a3ca77b8,25,0,0.0,control
Argentina,USER_ac85f17e97,25,1,0.04,control
Argentina,USER_105f36d630,25,0,0.0,control
Argentina,USER_1292e97118,25,0,0.0,control
Argentina,USER_c7e67230b1,25,0,0.0,control
Argentina,USER_3b6c1c396f,25,0,0.0,control
Argentina,USER_e81a7cf85a,25,0,0.0,control
Argentina,USER_65c53c7f7c,25,0,0.0,control
Argentina,USER_86c1ed9c21,25,0,0.0,control
Argentina,USER_ea7fa11dcb,25,1,0.04,control
Argentina,USER_f72f955271,25,0,0.0,control
Argentina,USER_f471cff4c3,25,0,0.0,control
Argentina,USER_706129b73c,16,0,0.0,control
Argentina,USER_61f085a6d8,25,0,0.0,control
Argentina,USER_591f886212,25,0,0.0,control
Argentina,USER_59f55d19ac,25,0,0.0,control
Argentina,USER_cdb9dbe8c2,25,0,0.0,control
Argentina,USER_1b23161dfb,25,0,0.0,control
Argentina,USER_ec0edc8ca3,25,0,0.0,control
Argentina,USER_a41c12163a,25,0,0.0,control
Argentina,USER_d6a976df38,25,1,0.04,control
Argentina,USER_d0435ec749,25,2,0.08,control
Argentina,USER_f1fc4a96b6,25,0,0.0,control
Argentina,USER_8da7e6e208,25,0,0.0,control
Argentina,USER_fbb4ff1a7a,25,0,0.0,control
Argentina,USER_a47d722437,25,0,0.0,control
Argentina,USER_8773be640c,25,0,0.0,control
Argentina,USER_b26d04c474,25,2,0.08,control
Argentina,USER_cdccff204f,25,0,0.0,control
Argentina,USER_e5afeaca52,25,1,0.04,control
Argentina,USER_c6f7494b12,25,3,0.12,seleccionado
Argentina,USER_48f9a25ad3,25,1,0.04,control
Argentina,USER_ecc5d6160d,25,1,0.04,control
Argentina,USER_7a1eac3365,15,0,0.0,control
Argentina,USER_cc835b1231,25,0,0.0,control
Argentina,USER_c8aa507a6e,25,1,0.04,control
Argentina,USER_679bb4c198,25,0,0.0,control
Argentina,USER_15116066e6,25,0,0.0,control
Argentina,USER_81e35c0574,25,0,0.0,control
Argentina,USER_12b2d6e3e2,25,0,0.0,control
Argentina,USER_edc09a39ca,25,0,0.0,control
Argentina,USER_89297ceb00,25,0,0.0,control
Argentina,USER_094646ddcb,25,3,0.12,seleccionado
Argentina,USER_52259636a1,25,0,0.0,control
Argentina,USER_caa04d35ad,25,0,0.0,control
Argentina,USER_7f15993f20,25,0,0.0,control
Argentina,USER_e8b2bf911c,25,1,0.04,control
Argentina,USER_a559098b51,25,0,0.0,control
Argentina,USER_2a7e987118,25,0,0.0,control
Argentina,USER_d9705531e7,25,0,0.0,control
Argentina,USER_d6daeba4ed,25,0,0.0,control
