microtema,frecuencia,porcentaje
Contenido no interpretable,105,13.36
Humor,16,2.04
Reflexión personal,14,1.78
Nostalgia,10,1.27
Amistad,9,1.15
Crítica social,7,0.89
Relaciones personales,6,0.76
Redes sociales,6,0.76
Autoafirmación,5,0.64
Queja personal,4,0.51
Relaciones interpersonales,4,0.51
Filosofía de vida,4,0.51
Malestar emocional,4,0.51
Cine y series,4,0.51
Amor romántico,4,0.51
Música,4,0.51
Deportes,4,0.51
Consejo personal,3,0.38
Romance,3,0.38
Queja social,3,0.38
Relaciones familiares,3,0.38
Frustración personal,3,0.38
Relaciones de pareja,3,0.38
Reflexión romántica,3,0.38
Superación personal,3,0.38
Reflexión sobre la vida,3,0.38
Reflexión sobre el amor,3,0.38
Desamor,3,0.38
Comentario social,3,0.38
Drama personal,3,0.38
Relación personal,3,0.38
Admiración física,3,0.38
Fútbol y admiración,3,0.38
Observación social,3,0.38
Expresión de afecto,3,0.38
Crítica personal,3,0.38
Autoestima,3,0.38
Gimnasio,3,0.38
Interacción social,2,0.25
Afecto/atracción,2,0.25
Anécdota familiar,2,0.25
Planes sociales,2,0.25
Crítica a terceros,2,0.25
Religión,2,0.25
Clima,2,0.25
Motivación,2,0.25
Saludo diario,2,0.25
Invitación a grupo social,2,0.25
Atracción física,2,0.25
Sentimientos,2,0.25
Vida sentimental,2,0.25
Admiración,2,0.25
Apreciación,2,0.25
Queja climática,2,0.25
Planes personales,2,0.25
Deseo de viajar,2,0.25
Vida social,2,0.25
Reflexión vital,2,0.25
Reflexión sobre el destino,2,0.25
Aburrimiento,2,0.25
Autorreflexión,2,0.25
Reflexión sobre relaciones,2,0.25
Declaración de amor,2,0.25
Sentimientos de soledad,2,0.25
Humor personal,2,0.25
Queja general,2,0.25
Necesidad de apoyo,2,0.25
Malestar general,2,0.25
Sentimiento de soledad,2,0.25
Bienestar personal,2,0.25
Amor de pareja,2,0.25
Resiliencia personal,2,0.25
Cine y ocio,2,0.25
Vida cotidiana,2,0.25
Interacción familiar,2,0.25
Intereses personales,2,0.25
Malestar físico,2,0.25
Frustración interpersonal,2,0.25
Videojuegos,2,0.25
Relaciones románticas,2,0.25
Soledad,2,0.25
Expectativas de pareja,2,0.25
Ocio,2,0.25
Fútbol y orgullo nacional,2,0.25
Sentimiento positivo,2,0.25
Frustración,2,0.25
Interacciones sociales,2,0.25
Alimentos ultraprocesados,2,0.25
Enfermedades infecciosas,2,0.25
Felicidad por logros personales,1,0.13
Impacto redes sociales,1,0.13
Genética,1,0.13
Nutrición y cognición,1,0.13
Autismo,1,0.13
Neurociencia del lenguaje,1,0.13
Cannabis y salud,1,0.13
Autoestima infantil,1,0.13
Traumatismos infantiles,1,0.13
Síntomas cognitivos,1,0.13
Investigación farmacéutica,1,0.13
Queja sobre el tiempo,1,0.13
Auto-reflexión,1,0.13
Intereses en misterio,1,0.13
Expresión de sorpresa,1,0.13
Reflexión y afecto,1,0.13
Finanzas personales,1,0.13
Observación de comportamiento,1,0.13
Chismorreo de celebridades,1,0.13
Premios y reconocimientos,1,0.13
