territorio,usuario,tweet,microtema
Argentina,USER_33daf89b57,"Instagram podría distorsionar la percepción del propio cuerpo y de las otras personas. 
El uso prolongado de Instagram y la exposición a contenido idealizado centrado en la apariencia, pueden difuminar el límite perceptivo entre el yo y los demás, un proceso fundamental para la identidad corporal.  

desde {{USER_MENTION}} y de {{USER_MENTION}}
Blurring the boundaries of the self: Instagram's impact on bodily identity and multisensory experience among young adults Computers in Human Behavior 
Date: October {{NUMBER}}
{{URL}}",Impacto redes sociales
Argentina,USER_33daf89b57,"La malaria, una enfermedad parasitaria causada por un protozoo intracelular del género {{LOCATION}}, sigue siendo una de las principales causas de sepsis y muerte en todo el mundo.
Enfoque al desarrollo de las vacunas candidatas para prevenir la malaria.

de {{USER_MENTION}} 
{{URL}}",Enfermedades infecciosas
Argentina,USER_33daf89b57,"""If environmental stress can indeed affect disease risk from gene variants, it would complicate efforts to estimate such risk from genetic analysis alone. 
What’s more, the clinical implications of a mutation are also muddied by complex interactions with other genes, making it even harder to establish how much a given variant impacts someone’s risk of disease — its ‘penetrance’.""

{{USER_MENTION}} 
{{URL}}",Genética
Argentina,USER_33daf89b57,"Tomar suplementos de omega-3 no mejora la memoria ni el aspecto cognitivo.
El deporte, la dieta sana y el adecuado tratamiento y manejo del estrés si influyen a generar mejoras o prevenir problemas.

University of Southern California’s Keck School of Medicine in Los Angeles.

desde {{USER_MENTION}} 
{{URL}}",Nutrición y cognición
Argentina,USER_33daf89b57,"RT {{USER_MENTION}}: Enfoque a la prevención del #autismo, la detección precoz para disminuir la severidad.

Effect of Preemptive Intervention…",Autismo
Argentina,USER_33daf89b57,"""Los humanos pueden transmitir información nueva y altamente diversa y enseñar a través del lenguaje.""  

En la fracción de segundo previa a que una persona hable, el cerebro construye una gramática compleja, un vocabulario preciso y un significado.
Se diseñan las oraciones antes de que se pronuncie una sola palabra.
Hay neuronas específicas identificadas en estas funciones.
{{USER_MENTION}} 
{{URL}}",Neurociencia del lenguaje
Argentina,USER_33daf89b57,"#cannabis 

La legalización de marihuana comercializada se asoció con un aumento en los ingresos hospitalarios por psicosis y por trastornos psicóticos comórbidos con el trastorno por consumo de cannabis. 

El acceso legal al cannabis medicinal, mal regulado y en ausencia de datos sobre su eficacia y seguridad, podría aumentar el riesgo de daños. 
\
{{USER_MENTION}} 
{{URL}}",Cannabis y salud
Argentina,USER_33daf89b57,"Quienes tienen una buen autoestima se sienten bien consigo mismos.
Esto también se refleja en la capacidad para comunicarse con los demás, para compartir y empatizar.
Es de enorme importancia promover a la autoestima en nuestros niños.

de {{USER_MENTION}}",Autoestima infantil
Argentina,USER_33daf89b57,"Las quemaduras constituyen una de las principales causas de lesiones traumáticas en la infancia, situándose como la cuarta causa de trauma infantil a nivel mundial tras los accidentes de tráfico, las caídas y las agresiones.

de {{USER_MENTION}} 
{{URL}}",Traumatismos infantiles
Argentina,USER_33daf89b57,"“Niebla mental” es un término para una variedad de síntomas que implican deterioro cognitivo. 
Afecta la capacidad para pensar con claridad, concentrarse, enfocar, recordar y prestar atención. 

La niebla mental puede ocurrir después de una enfermedad o un efecto secundario de un medicamento (como la quimioterapia) o como un síntoma de una condición subyacente actual o inminente.
de {{USER_MENTION}}",Síntomas cognitivos
Argentina,USER_33daf89b57,"""Las clasificaciones de los alimentos ultraprocesados incluyen muchos alimentos poco saludables, pero también abarcan productos que son nutricionalmente adecuados o incluso beneficiosos""

El ""ultraprocesamiento"" en sí mismo no es lo malo.

""La evidencia muestra que la densidad calórica, la textura, la fibra, el contenido de proteínas, el sodio y las grasas saturadas determinan la ingesta energética, el cambio de peso y los cambios en el perfil lipídico"", dijo, ""independientemente de si un alimento se clasifica como ultraprocesado o mínimamente procesado"".

{{URL}}",Alimentos ultraprocesados
Argentina,USER_33daf89b57,"La #psilocibina, el compuesto psicodélico natural producido por los hongos alucinógenos, ha captado la atención debido a la considerable evidencia clínica de su potencial terapéutico para tratar diversas afecciones psiquiátricas y neurodegenerativas. 
Sin embargo, los mecanismos moleculares subyacentes siguen siendo un enigma, y ​​pocos estudios han explorado sus efectos sistémicos. 

desde {{USER_MENTION}} 
de npj Aging volume 11, Article number: 55 ({{NUMBER}})
{{URL}}",Investigación farmacéutica
Argentina,USER_33daf89b57,"La FDA aprobó la linaclotida (Linzess, {{PERSON}}) para el tratamiento de la constipación en pacientes a partir de los 2 años de edad

desde {{USER_MENTION}}
{{URL}}",Aprobación medicamentos
Argentina,USER_33daf89b57,"#ebola
Los síntomas iniciales se clasifican como «secos» y incluyen fiebre alta, dolor de cabeza, cansancio extremo, dolores musculares y dolor de garganta.
A medida que la enfermedad progresa, se desarrollan los síntomas «húmedos», que pueden incluir vómitos, diarrea y dolor de estómago, erupción cutánea, hematomas, coloración amarillenta de la piel y los ojos, y sangrado en diferentes partes del cuerpo.

{{URL}}",Enfermedades infecciosas
Argentina,USER_33daf89b57,"El vapeo es una práctica relativamente nueva. 
Los expertos están descubriendo cada día más sobre la toxicidad y los riesgos para la salud. 

La investigación vincula las sustancias químicas presentes en el vapor de los cigarrillos con enfermedades.

Vaping vs. Smoking: Both Are Dangerousde {{USER_MENTION}}
{{URL}}",Vaping y salud
Argentina,USER_33daf89b57,"La #memoria a largo plazo es un espacio de almacenamiento casi permanente para la información y experiencias aprendidas. 
Puede contener recuerdos durante años. 
Los recuerdos pueden durar mucho tiempo, pero la capacidad para evocarlos o recuperarlos puede alterarse con la edad, ciertas condiciones o enfermedades.
de {{USER_MENTION}}",Memoria
Argentina,USER_33daf89b57,"#antibióticos
Durante décadas, el dogma cultural dictaba que los tratamientos largos eran siempre más seguros. Sin embargo, la evidencia científica actual demuestra de manera consistente que los tratamientos más breves son igual de eficaces y sustancialmente más seguros para evitar resistencias.

de {{USER_MENTION}} 
{{URL}}",Uso de antibióticos
