usuario,total_tweets,tweets_salud_mental,tweets_no_salud_mental,proporcion_salud_mental
USER_eb0cba1f69,25,0,25,0.0
USER_6afac4c4e7,25,0,25,0.0
USER_eb516379dc,25,0,25,0.0
USER_905f22fa45,25,3,22,0.12
USER_e64b4122d5,25,1,24,0.04
USER_e4ce3e8bbb,1,1,0,1.0
USER_b45bf4f41b,25,0,25,0.0
USER_a41f851d0f,25,0,25,0.0
USER_a24bc95c57,25,0,25,0.0
USER_c3b17d979e,25,0,25,0.0
USER_df6672d83a,25,0,25,0.0
USER_ec1742aa04,25,0,25,0.0
USER_48b32b34d8,25,0,25,0.0
USER_f9b5b72b5f,25,0,25,0.0
USER_024ae96222,25,0,25,0.0
USER_12137b1919,25,0,25,0.0
USER_3561b3e09a,25,0,25,0.0
USER_7855670609,25,1,24,0.04
USER_e3495199a0,25,0,25,0.0
USER_4264bede83,25,0,25,0.0
USER_c336bb2986,25,0,25,0.0
USER_d778da24f0,25,0,25,0.0
USER_d3a957a82c,25,0,25,0.0
USER_9d970ce3cf,25,0,25,0.0
USER_2ef849da5a,25,0,25,0.0
USER_dba41c4ebe,25,0,25,0.0
USER_bf853ef7fa,25,0,25,0.0
USER_6c26578e3a,25,0,25,0.0
USER_f963d998c8,25,0,25,0.0
USER_e11ce18d65,25,0,25,0.0
USER_3ae1685d8d,25,0,25,0.0
USER_e26b0f1110,25,0,25,0.0
USER_f815965081,25,0,25,0.0
USER_cbc7d6cbb1,25,0,25,0.0
USER_00f25d5803,25,0,25,0.0
USER_ec8c554cc1,25,0,25,0.0
USER_b5d34da864,25,1,24,0.04
USER_016118f967,25,0,25,0.0
USER_ba770c0f03,25,1,24,0.04
USER_89d32a2262,25,1,24,0.04
USER_5d88e5d7ad,25,0,25,0.0
USER_1e6d01db79,25,0,25,0.0
USER_5809538946,25,0,25,0.0
USER_4b9c8c9676,25,0,25,0.0
USER_7d06b93e5a,25,0,25,0.0
USER_0fc3627c3c,25,0,25,0.0
USER_6111897c2d,25,0,25,0.0
USER_bdd10fa7f3,23,0,23,0.0
USER_bc075017b6,25,1,24,0.04
USER_8839f25c63,25,0,25,0.0
USER_6ff98b2f42,25,0,25,0.0
USER_d2973fa89e,16,2,14,0.125
USER_de43fe686f,25,0,25,0.0
USER_0ae86a3aee,25,0,25,0.0
USER_9c3963ef0f,25,0,25,0.0
USER_9f34d41bd8,25,0,25,0.0
USER_1b91ee0311,25,0,25,0.0
USER_9a595cc16b,25,0,25,0.0
USER_3075dc60a6,25,0,25,0.0
USER_4c8c632c4b,25,0,25,0.0
USER_6a50352206,25,0,25,0.0
USER_d93a68a39e,25,0,25,0.0
USER_46dea3d720,25,0,25,0.0
USER_1b9c950959,19,0,19,0.0
USER_593df12cc9,25,0,25,0.0
USER_a6b3ac7503,25,0,25,0.0
USER_5edcfa4644,25,1,24,0.04
USER_ba61db0cb4,25,0,25,0.0
USER_566223074c,25,0,25,0.0
USER_d9f0be5d48,15,0,15,0.0
USER_a2b68c1360,25,0,25,0.0
USER_9f9f8845bd,25,0,25,0.0
USER_741e34b186,25,0,25,0.0
USER_ff5f06eaf0,25,0,25,0.0
USER_91c9c20969,10,0,10,0.0
USER_d6d66e281e,25,0,25,0.0
USER_908d2ea0f5,25,0,25,0.0
USER_44f528190e,25,0,25,0.0
USER_79a7e09e1b,11,0,11,0.0
USER_d084b6b558,25,0,25,0.0
USER_bc57612d7d,25,0,25,0.0
USER_e6d4770219,25,0,25,0.0
USER_c448e55ecd,25,0,25,0.0
USER_0522310b93,25,0,25,0.0
USER_456873cf3c,25,0,25,0.0
USER_5ef74f0c96,25,0,25,0.0
USER_370a3718eb,25,0,25,0.0
USER_50054405bc,25,0,25,0.0
USER_d7f6d48370,25,2,23,0.08
USER_6f1aea7825,25,0,25,0.0
USER_ceb61ccadf,25,1,24,0.04
USER_67cec3d90f,25,0,25,0.0
USER_9403b1222e,25,0,25,0.0
USER_46ce9acb89,25,0,25,0.0
USER_ac157a1c35,25,1,24,0.04
USER_e66f1b310d,25,0,25,0.0
USER_4df99df26e,25,0,25,0.0
USER_6fcf519a92,25,0,25,0.0
USER_8f351700e4,25,0,25,0.0
USER_24a091b720,25,3,22,0.12
USER_64ebcb1554,25,0,25,0.0
USER_f07ab72d3f,25,0,25,0.0
USER_6e3e64a1f1,19,1,18,0.053
USER_8b1a4e7e0e,25,1,24,0.04
USER_c8ea4df522,25,0,25,0.0
USER_7b43ffe4f2,25,4,21,0.16
USER_14b2a1d77a,25,0,25,0.0
USER_adb317d642,7,0,7,0.0
USER_edaf91a335,25,0,25,0.0
USER_d8c8e92e9f,25,0,25,0.0
USER_6964598a2c,25,0,25,0.0
USER_b32a003da8,25,8,17,0.32
USER_83959a640a,25,0,25,0.0
USER_c995822737,25,0,25,0.0
USER_77bda42e29,25,0,25,0.0
USER_5046ef8447,25,0,25,0.0
USER_1676e8b49f,25,0,25,0.0
USER_ce7b49d0a1,25,0,25,0.0
USER_7b4da25985,25,0,25,0.0
USER_455c5013ff,25,0,25,0.0
USER_02264ca992,25,0,25,0.0
USER_c7bc292dbf,25,0,25,0.0
USER_f7283cf79a,25,0,25,0.0
USER_5e747ccee5,25,0,25,0.0
USER_d1672f21f8,25,1,24,0.04
USER_eb845242d2,25,0,25,0.0
USER_e3ac9c3c67,25,0,25,0.0
USER_cf829d46f6,25,0,25,0.0
USER_5c45c0abdc,25,0,25,0.0
USER_9a437a7bfb,25,1,24,0.04
USER_62d6544929,12,0,12,0.0
USER_2fd067f290,25,0,25,0.0
USER_805e96d45e,25,0,25,0.0
USER_e340fa26e4,23,0,23,0.0
USER_64c7438460,25,1,24,0.04
USER_6bf469c83b,25,0,25,0.0
USER_b683eb88ad,25,2,23,0.08
USER_5d2be10ce0,25,0,25,0.0
USER_f9cab45c5d,25,0,25,0.0
USER_6417a211e8,25,0,25,0.0
USER_ff30607903,25,0,25,0.0
USER_4219516272,25,1,24,0.04
USER_e974d700ed,25,0,25,0.0
