territorio,usuario,total_tweets,tweets_salud_mental,proporcion_salud_mental,clasificacion_usuario
Chile,USER_eb0cba1f69,25,0,0.0,control
Chile,USER_6afac4c4e7,25,0,0.0,control
Chile,USER_eb516379dc,25,0,0.0,control
Chile,USER_905f22fa45,25,3,0.12,seleccionado
Chile,USER_e64b4122d5,25,1,0.04,control
Chile,USER_e4ce3e8bbb,1,1,1.0,control
Chile,USER_b45bf4f41b,25,0,0.0,control
Chile,USER_a41f851d0f,25,0,0.0,control
Chile,USER_a24bc95c57,25,0,0.0,control
Chile,USER_c3b17d979e,25,0,0.0,control
Chile,USER_df6672d83a,25,0,0.0,control
Chile,USER_ec1742aa04,25,0,0.0,control
Chile,USER_48b32b34d8,25,0,0.0,control
Chile,USER_f9b5b72b5f,25,0,0.0,control
Chile,USER_024ae96222,25,0,0.0,control
Chile,USER_12137b1919,25,0,0.0,control
Chile,USER_3561b3e09a,25,0,0.0,control
Chile,USER_7855670609,25,1,0.04,control
Chile,USER_e3495199a0,25,0,0.0,control
Chile,USER_4264bede83,25,0,0.0,control
Chile,USER_c336bb2986,25,0,0.0,control
Chile,USER_d778da24f0,25,0,0.0,control
Chile,USER_d3a957a82c,25,0,0.0,control
Chile,USER_9d970ce3cf,25,0,0.0,control
Chile,USER_2ef849da5a,25,0,0.0,control
Chile,USER_dba41c4ebe,25,0,0.0,control
Chile,USER_bf853ef7fa,25,0,0.0,control
Chile,USER_6c26578e3a,25,0,0.0,control
Chile,USER_f963d998c8,25,0,0.0,control
Chile,USER_e11ce18d65,25,0,0.0,control
Chile,USER_3ae1685d8d,25,0,0.0,control
Chile,USER_e26b0f1110,25,0,0.0,control
Chile,USER_f815965081,25,0,0.0,control
Chile,USER_cbc7d6cbb1,25,0,0.0,control
Chile,USER_00f25d5803,25,0,0.0,control
Chile,USER_ec8c554cc1,25,0,0.0,control
Chile,USER_b5d34da864,25,1,0.04,control
Chile,USER_016118f967,25,0,0.0,control
Chile,USER_ba770c0f03,25,1,0.04,control
Chile,USER_89d32a2262,25,1,0.04,control
Chile,USER_5d88e5d7ad,25,0,0.0,control
Chile,USER_1e6d01db79,25,0,0.0,control
Chile,USER_5809538946,25,0,0.0,control
Chile,USER_4b9c8c9676,25,0,0.0,control
Chile,USER_7d06b93e5a,25,0,0.0,control
Chile,USER_0fc3627c3c,25,0,0.0,control
Chile,USER_6111897c2d,25,0,0.0,control
Chile,USER_bdd10fa7f3,23,0,0.0,control
Chile,USER_bc075017b6,25,1,0.04,control
Chile,USER_8839f25c63,25,0,0.0,control
Chile,USER_6ff98b2f42,25,0,0.0,control
Chile,USER_d2973fa89e,16,2,0.125,seleccionado
Chile,USER_de43fe686f,25,0,0.0,control
Chile,USER_0ae86a3aee,25,0,0.0,control
Chile,USER_9c3963ef0f,25,0,0.0,control
Chile,USER_9f34d41bd8,25,0,0.0,control
Chile,USER_1b91ee0311,25,0,0.0,control
Chile,USER_9a595cc16b,25,0,0.0,control
Chile,USER_3075dc60a6,25,0,0.0,control
Chile,USER_4c8c632c4b,25,0,0.0,control
Chile,USER_6a50352206,25,0,0.0,control
Chile,USER_d93a68a39e,25,0,0.0,control
Chile,USER_46dea3d720,25,0,0.0,control
Chile,USER_1b9c950959,19,0,0.0,control
Chile,USER_593df12cc9,25,0,0.0,control
Chile,USER_a6b3ac7503,25,0,0.0,control
Chile,USER_5edcfa4644,25,1,0.04,control
Chile,USER_ba61db0cb4,25,0,0.0,control
Chile,USER_566223074c,25,0,0.0,control
Chile,USER_d9f0be5d48,15,0,0.0,control
Chile,USER_a2b68c1360,25,0,0.0,control
Chile,USER_9f9f8845bd,25,0,0.0,control
Chile,USER_741e34b186,25,0,0.0,control
Chile,USER_ff5f06eaf0,25,0,0.0,control
Chile,USER_91c9c20969,10,0,0.0,control
Chile,USER_d6d66e281e,25,0,0.0,control
Chile,USER_908d2ea0f5,25,0,0.0,control
Chile,USER_44f528190e,25,0,0.0,control
Chile,USER_79a7e09e1b,11,0,0.0,control
Chile,USER_d084b6b558,25,0,0.0,control
Chile,USER_bc57612d7d,25,0,0.0,control
Chile,USER_e6d4770219,25,0,0.0,control
Chile,USER_c448e55ecd,25,0,0.0,control
Chile,USER_0522310b93,25,0,0.0,control
Chile,USER_456873cf3c,25,0,0.0,control
Chile,USER_5ef74f0c96,25,0,0.0,control
Chile,USER_370a3718eb,25,0,0.0,control
Chile,USER_50054405bc,25,0,0.0,control
Chile,USER_d7f6d48370,25,2,0.08,control
Chile,USER_6f1aea7825,25,0,0.0,control
Chile,USER_ceb61ccadf,25,1,0.04,control
Chile,USER_67cec3d90f,25,0,0.0,control
Chile,USER_9403b1222e,25,0,0.0,control
Chile,USER_46ce9acb89,25,0,0.0,control
Chile,USER_ac157a1c35,25,1,0.04,control
