territorio,usuario,tweet,microtema,macrotema_codigo,macrotema
Chile,USER_905f22fa45,"Yo entendí hace mucho tiempo que por mucho nostalgia que tenga que no tengo nada que buscar en {{LOCATION}}. Lo que me pagaría no me alcanzaría ni para Morirme de hambre y estaría más solo que en el cementerio, así que {{PERSON}}",Reflexión personal y económica,ECO,"Economía, empleo y vivienda"
Chile,USER_905f22fa45,"RT {{USER_MENTION}}: Tengo un cliente que viene a desayunar a mi cafetería desde hace 7 años.

Siempre llega a las 6:30.

Siempre pide lo mism…",Anécdota laboral,ECO,"Economía, empleo y vivienda"
Chile,USER_905f22fa45,Amén,Expresión religiosa,OTROS,Otros temas o contenido ambiguo
Chile,USER_905f22fa45,"RT {{USER_MENTION}}: Vamos a apoyarlas con algo, están en {{LOCATION}} / {{LOCATION}} 🇻🇪 Si no tienes como ayudarlas, regálanos un RT🔃 para que llegue…",Petición de ayuda,OTROS,Otros temas o contenido ambiguo
Chile,USER_905f22fa45,"RT {{USER_MENTION}}: 💔 ""Mamá, quiero que vuelvas a ser la misma de antes y me lleves al colegio"".

{{PERSON}} está vendiendo sus juguetes para a…",Situación familiar difícil,REL,"Relaciones personales, afectivas y vida social"
Chile,USER_905f22fa45,"RT {{USER_MENTION}}: Sobre {{USER_MENTION}} y lo que ocurre en estos momentos, solo puedo decir una cosa con certeza:

A {{PERSON}} la conocí durante…",Comentario sobre terceros,OTROS,Otros temas o contenido ambiguo
Chile,USER_905f22fa45,Que su memoria sea bendita,Recuerdo póstumo,REL,"Relaciones personales, afectivas y vida social"
Chile,USER_905f22fa45,Honor y gloria,Homenaje,OTROS,Otros temas o contenido ambiguo
Chile,USER_905f22fa45,"RT {{USER_MENTION}}: El tren a {{LOCATION}}, {{NUMBER}}.
Este vídeo, en color, me destrozó el corazón.

En la última estación, sus vidas se desvanecieron:…",Historia trágica,OTROS,Otros temas o contenido ambiguo
Chile,USER_905f22fa45,Muy interesante,Comentario genérico,OTROS,Otros temas o contenido ambiguo
Chile,USER_905f22fa45,"Vro este post Y a quién le recuerda, pregunto: cómo es posible que se lleve el Creador a todas esas joyas deslumbrantes del séptimo arte?",Cine y luto,OCIO,"Cultura, ocio y entretenimiento"
Chile,USER_905f22fa45,{{PERSON}} supuestamente va a ser la paz con el régimen iraní. {{PERSON}} como los cometidos con esta mujer también serán absueltos Y afirmados con esa {{PERSON}}?,Política internacional,POL,"Política, instituciones y actualidad pública"
Chile,USER_905f22fa45,"RT {{USER_MENTION}}: {{PERSON}} is one of the greatest leaders in history.
Share if you agree. 🇮🇱 {{URL}}",Política y liderazgo,POL,"Política, instituciones y actualidad pública"
Chile,USER_905f22fa45,"RT {{USER_MENTION}}: El Sionista del Día:

{{PERSON}} ({{NUMBER}}–{{NUMBER}}) fue un oficial de élite israelí y el único soldado israelí caí…",Historia militar,POL,"Política, instituciones y actualidad pública"
