usuario,total_tweets,tweets_salud_mental,tweets_no_salud_mental,proporcion_salud_mental
USER_9af9ab449f,7,0,7,0.0
USER_ca60e9c53c,25,0,25,0.0
USER_b505cb82d2,25,1,24,0.04
USER_8a70b88d61,25,0,25,0.0
USER_2702a1be3c,25,0,25,0.0
USER_244771a491,25,2,23,0.08
USER_2870bacd1a,25,0,25,0.0
USER_6bbc08524a,25,1,24,0.04
USER_31650b32eb,25,0,25,0.0
USER_a84a2df750,25,0,25,0.0
USER_9dfbd2cdb0,25,0,25,0.0
USER_6a99270779,25,0,25,0.0
USER_f52aa33989,25,0,25,0.0
USER_3d2771144c,25,0,25,0.0
USER_661270b40f,25,0,25,0.0
USER_c0a34b1ecb,25,0,25,0.0
USER_a64dcfcd9f,25,1,24,0.04
USER_f251660d1f,25,0,25,0.0
USER_d847f9ece2,25,0,25,0.0
USER_793942e10c,25,0,25,0.0
USER_8058cf8d3e,25,5,20,0.2
USER_d16d254017,25,0,25,0.0
USER_dc12b1acdc,0,0,0,0.0
USER_5b4dbc742d,25,4,21,0.16
USER_41201f0b94,25,0,25,0.0
USER_0a7f88f886,25,0,25,0.0
USER_d052154652,25,0,25,0.0
USER_c6b7a31708,25,1,24,0.04
USER_6e54efa593,25,2,23,0.08
USER_dc9d118274,25,4,21,0.16
USER_7c42adeb94,25,0,25,0.0
USER_6a6ec96c8c,25,0,25,0.0
USER_a7c71db867,25,0,25,0.0
USER_42e9051dc0,25,0,25,0.0
USER_90abaae9ea,25,0,25,0.0
USER_36ece8ca68,2,1,1,0.5
USER_2d5b4c2535,25,1,24,0.04
USER_86e13ed142,25,0,25,0.0
USER_453b0c03d2,25,0,25,0.0
USER_6606ef0223,24,1,23,0.042
USER_1ed307df7b,25,0,25,0.0
USER_5dca21bf4b,25,0,25,0.0
USER_7ddb69544e,25,0,25,0.0
USER_1439b9a0d0,25,0,25,0.0
USER_3a306d1b2b,25,0,25,0.0
USER_bb59f3ab58,25,0,25,0.0
USER_b7d2df4238,25,0,25,0.0
USER_597436e059,25,1,24,0.04
USER_5edcfa4644,25,1,24,0.04
USER_a6fd756005,25,2,23,0.08
USER_0905781a83,25,0,25,0.0
USER_4ec6620516,25,0,25,0.0
USER_1113c8f040,25,0,25,0.0
