territorio,usuario,total_tweets,tweets_salud_mental,proporcion_salud_mental,clasificacion_usuario
Colombia,USER_9af9ab449f,7,0,0.0,control
Colombia,USER_ca60e9c53c,25,0,0.0,control
Colombia,USER_b505cb82d2,25,1,0.04,control
Colombia,USER_8a70b88d61,25,0,0.0,control
Colombia,USER_2702a1be3c,25,0,0.0,control
Colombia,USER_244771a491,25,2,0.08,control
Colombia,USER_2870bacd1a,25,0,0.0,control
Colombia,USER_6bbc08524a,25,1,0.04,control
Colombia,USER_31650b32eb,25,0,0.0,control
Colombia,USER_a84a2df750,25,0,0.0,control
Colombia,USER_9dfbd2cdb0,25,0,0.0,control
Colombia,USER_6a99270779,25,0,0.0,control
Colombia,USER_f52aa33989,25,0,0.0,control
Colombia,USER_3d2771144c,25,0,0.0,control
Colombia,USER_661270b40f,25,0,0.0,control
Colombia,USER_c0a34b1ecb,25,0,0.0,control
Colombia,USER_a64dcfcd9f,25,1,0.04,control
Colombia,USER_f251660d1f,25,0,0.0,control
Colombia,USER_d847f9ece2,25,0,0.0,control
Colombia,USER_793942e10c,25,0,0.0,control
Colombia,USER_8058cf8d3e,25,5,0.2,seleccionado
Colombia,USER_d16d254017,25,0,0.0,control
Colombia,USER_5b4dbc742d,25,4,0.16,seleccionado
Colombia,USER_41201f0b94,25,0,0.0,control
Colombia,USER_0a7f88f886,25,0,0.0,control
Colombia,USER_d052154652,25,0,0.0,control
Colombia,USER_c6b7a31708,25,1,0.04,control
Colombia,USER_6e54efa593,25,2,0.08,control
Colombia,USER_dc9d118274,25,4,0.16,seleccionado
Colombia,USER_7c42adeb94,25,0,0.0,control
Colombia,USER_6a6ec96c8c,25,0,0.0,control
Colombia,USER_a7c71db867,25,0,0.0,control
Colombia,USER_42e9051dc0,25,0,0.0,control
Colombia,USER_90abaae9ea,25,0,0.0,control
Colombia,USER_36ece8ca68,2,1,0.5,control
Colombia,USER_2d5b4c2535,25,1,0.04,control
Colombia,USER_86e13ed142,25,0,0.0,control
Colombia,USER_453b0c03d2,25,0,0.0,control
Colombia,USER_6606ef0223,24,1,0.042,control
Colombia,USER_1ed307df7b,25,0,0.0,control
Colombia,USER_5dca21bf4b,25,0,0.0,control
Colombia,USER_7ddb69544e,25,0,0.0,control
Colombia,USER_1439b9a0d0,25,0,0.0,control
Colombia,USER_3a306d1b2b,25,0,0.0,control
Colombia,USER_bb59f3ab58,25,0,0.0,control
Colombia,USER_b7d2df4238,25,0,0.0,control
Colombia,USER_597436e059,25,1,0.04,control
Colombia,USER_5edcfa4644,25,1,0.04,control
Colombia,USER_a6fd756005,25,2,0.08,control
Colombia,USER_0905781a83,25,0,0.0,control
Colombia,USER_4ec6620516,25,0,0.0,control
Colombia,USER_1113c8f040,25,0,0.0,control
Colombia,USER_f63e5dc78e,25,0,0.0,control
Colombia,USER_2069864adf,25,1,0.04,control
Colombia,USER_d4a6ec3e24,25,3,0.12,seleccionado
Colombia,USER_1d4c75effe,25,1,0.04,control
Colombia,USER_e557b10389,25,0,0.0,control
Colombia,USER_d9892d8552,25,1,0.04,control
Colombia,USER_2116578720,25,0,0.0,control
Colombia,USER_44ee1e2072,25,0,0.0,control
Colombia,USER_2116c20e80,25,0,0.0,control
Colombia,USER_ea20216942,25,2,0.08,control
Colombia,USER_b7af76e6d4,25,1,0.04,control
Colombia,USER_03db095e58,25,0,0.0,control
Colombia,USER_874e4005f8,25,0,0.0,control
Colombia,USER_d833ec3a2c,25,1,0.04,control
Colombia,USER_b243334a39,25,3,0.12,seleccionado
Colombia,USER_c182471bf7,25,0,0.0,control
Colombia,USER_cb1169b193,25,0,0.0,control
Colombia,USER_369be3497a,25,0,0.0,control
Colombia,USER_5e22f4c44b,25,1,0.04,control
Colombia,USER_af6ab923a3,25,1,0.04,control
Colombia,USER_29b7c1ca47,25,0,0.0,control
Colombia,USER_a217f6795c,25,0,0.0,control
Colombia,USER_ad24f647cb,25,3,0.12,seleccionado
Colombia,USER_7d12047ea8,25,0,0.0,control
Colombia,USER_fbf70b7635,25,1,0.04,control
Colombia,USER_2448b117a2,25,1,0.04,control
Colombia,USER_a3c1e79125,25,0,0.0,control
Colombia,USER_6cdc0c3df6,25,0,0.0,control
Colombia,USER_a0d3467fdd,25,2,0.08,control
Colombia,USER_825fb9b108,25,0,0.0,control
Colombia,USER_1307413146,25,0,0.0,control
Colombia,USER_1ee61a6280,25,2,0.08,control
Colombia,USER_82ab1288c2,25,0,0.0,control
Colombia,USER_450e559dd3,25,4,0.16,seleccionado
Colombia,USER_6f3d5ce314,25,0,0.0,control
Colombia,USER_8c813c12c5,25,0,0.0,control
Colombia,USER_ce83a033d1,25,0,0.0,control
Colombia,USER_e1011c1099,25,0,0.0,control
Colombia,USER_2f0b69c663,25,0,0.0,control
Colombia,USER_367e7f54a2,25,0,0.0,control
Colombia,USER_4aab23a7fc,25,0,0.0,control
Colombia,USER_a7a46b7fd9,25,0,0.0,control
Colombia,USER_53decdb711,25,0,0.0,control
Colombia,USER_9146f121ad,25,0,0.0,control
Colombia,USER_f0fac66810,25,0,0.0,control
Colombia,USER_6d63cae06e,25,0,0.0,control
Colombia,USER_c47b82e7c5,25,0,0.0,control
Colombia,USER_d27f857346,25,0,0.0,control
Colombia,USER_778d24da2a,25,0,0.0,control
Colombia,USER_cebeeabcdc,25,0,0.0,control
Colombia,USER_873aedb9ed,25,0,0.0,control
Colombia,USER_ba1cbce8d9,25,0,0.0,control
Colombia,USER_58669e3ced,25,0,0.0,control
Colombia,USER_fab900cda2,25,0,0.0,control
Colombia,USER_3c9006e858,25,3,0.12,seleccionado
Colombia,USER_88d00bf6af,25,4,0.16,seleccionado
Colombia,USER_90b94774d6,25,0,0.0,control
Colombia,USER_29ec48ec92,25,3,0.12,seleccionado
Colombia,USER_234dbfa69d,25,0,0.0,control
Colombia,USER_14c956b506,25,0,0.0,control
Colombia,USER_86a9ec926a,25,0,0.0,control
Colombia,USER_55e515dad9,25,2,0.08,control
Colombia,USER_e62222b3f8,25,0,0.0,control
Colombia,USER_f8eb56c36a,4,0,0.0,control
Colombia,USER_09bdea1436,25,2,0.08,control
Colombia,USER_fed556ab74,25,7,0.28,seleccionado
Colombia,USER_eba2f948e9,25,1,0.04,control
Colombia,USER_c3ef954c09,8,1,0.125,control
Colombia,USER_e44c99a923,25,2,0.08,control
Colombia,USER_4ed9a606ad,25,2,0.08,control
Colombia,USER_d721bc85f0,25,0,0.0,control
Colombia,USER_8db3fe34a6,25,0,0.0,control
