microtema,frecuencia,porcentaje
Contenido no interpretable,59,9.62
Reflexión personal,14,2.28
Política,13,2.12
Humor,10,1.63
Amor y pareja,9,1.47
Crítica social,9,1.47
Fandom musical,9,1.47
Música,8,1.31
Reflexión sobre relaciones,6,0.98
Mascotas,5,0.82
Afecto personal,5,0.82
Relaciones personales,5,0.82
Duelo,4,0.65
Esperanza,4,0.65
Amistad,4,0.65
Ruptura sentimental,4,0.65
Deportes,4,0.65
Nostalgia,4,0.65
Reflexión vital,3,0.49
Interacción social,3,0.49
Búsqueda de interacción,3,0.49
Desamor,3,0.49
Crítica de comportamiento,3,0.49
Relaciones amorosas,3,0.49
Espiritualidad,3,0.49
Letra de canción,3,0.49
Queja personal,3,0.49
Relaciones interpersonales,3,0.49
Decepción con personas,3,0.49
Superación personal,3,0.49
Despedida,3,0.49
Relación de pareja,3,0.49
Agradecimiento,2,0.33
Aburrimiento/fastidio,2,0.33
Insomnio,2,0.33
Relaciones sentimentales,2,0.33
Expresión de afecto,2,0.33
Filosofía de vida,2,0.33
Cuidado personal,2,0.33
Sentimiento positivo,2,0.33
Gratitud,2,0.33
Extrañar a un amigo,2,0.33
Malestar físico,2,0.33
Extrañar,2,0.33
Redes sociales,2,0.33
Desilusión social,2,0.33
Desilusión,2,0.33
Reflexión existencial,2,0.33
Malestar emocional,2,0.33
Ruptura amorosa,2,0.33
Expectativas en relaciones,2,0.33
Añoranza romántica,2,0.33
Frustración,2,0.33
Música en vivo,2,0.33
Estudios,2,0.33
Nostalgia familiar,2,0.33
Declaración de amor,2,0.33
Admiración,2,0.33
Vida académica,2,0.33
Reflexión de vida,2,0.33
Crecimiento personal,2,0.33
Autocrítica,2,0.33
Conflicto de pareja,2,0.33
Rutina diaria,2,0.33
Música y entretenimiento,2,0.33
Interacción sugerente,2,0.33
Reflexión general,2,0.33
Amor/atracción,2,0.33
Deseo de amistad,1,0.16
Desmotivación por falta de interés,1,0.16
Nostalgia social,1,0.16
Deseo personal,1,0.16
Observación cíclica,1,0.16
Confusión/influencia,1,0.16
Resiliencia,1,0.16
Soledad social,1,0.16
Comentario sexual,1,0.16
Reacción personal,1,0.16
Anticipación romántica,1,0.16
Música y eventos,1,0.16
Afecto y romance,1,0.16
Soledad y relaciones,1,0.16
Interacción social general,1,0.16
Queja general,1,0.16
Humor y emoción,1,0.16
Búsqueda de afecto,1,0.16
Búsqueda/curiosidad,1,0.16
Rivalidad romántica,1,0.16
Felicitación de cumpleaños,1,0.16
Reflexión sobre el pasado,1,0.16
Enamoramiento inicial,1,0.16
Reflexión amorosa,1,0.16
Desamor/reconciliación fallida,1,0.16
Emoción intensa,1,0.16
Dramatismo emocional,1,0.16
Celebración personal,1,0.16
Recuperación emocional,1,0.16
Reflexión sobre pérdidas,1,0.16
Resolución/alivio,1,0.16
Televisión,1,0.16
Observación personal,1,0.16
Exclusión social,1,0.16
Deseos negativos,1,0.16
Tristeza,1,0.16
Reacción negativa,1,0.16
Queja social,1,0.16
Frustración por carencia,1,0.16
Retorno positivo,1,0.16
Queja política,1,0.16
Religión/plegaria,1,0.16
Dificultades académicas,1,0.16
Salud personal,1,0.16
Religión/reflexión,1,0.16
Cine y series,1,0.16
Cambio de perfil,1,0.16
Recuerdo de ser querido,1,0.16
Dificultad,1,0.16
Petición de ayuda,1,0.16
Alivio por separación,1,0.16
Motivación,1,0.16
Salud y restricciones,1,0.16
Queja de salud,1,0.16
Clima,1,0.16
Deseo de viaje,1,0.16
Relaciones y estudios,1,0.16
Ocio personal,1,0.16
Deseo de intimidad,1,0.16
Viajes y compañía,1,0.16
Alivio personal,1,0.16
Cambio de vida,1,0.16
Falta de entendimiento,1,0.16
Romance,1,0.16
Autorreflexión,1,0.16
Necesidad de objetos,1,0.16
Dinámicas sociales,1,0.16
Experiencia personal,1,0.16
Decisión personal,1,0.16
Actitud personal,1,0.16
Aceptación,1,0.16
Ultimátum,1,0.16
Auto-percepción,1,0.16
Nuevos comienzos,1,0.16
Empoderamiento personal,1,0.16
Emociones,1,0.16
Metas y esfuerzos,1,0.16
Autocuidado,1,0.16
Crítica,1,0.16
Letras de canciones,1,0.16
Anhelo romántico,1,0.16
Recuerdo,1,0.16
Autoafirmación,1,0.16
Traición,1,0.16
Ocio,1,0.16
Vida íntima,1,0.16
Deseo amoroso,1,0.16
Queja en la relación,1,0.16
Crítica universitaria,1,0.16
Anticipación de cumpleaños,1,0.16
Acuerdo,1,0.16
Deseo sexual,1,0.16
Tratamiento de alimentación,1,0.16
Ambiente de rehabilitación,1,0.16
Percepción de madurez,1,0.16
Dudas sobre cumplidos,1,0.16
Fomento de ayuda,1,0.16
Cierre de etapa,1,0.16
Inicio de terapia,1,0.16
Crítica universitaria y consecuencias,1,0.16
Autoimagen y afecto,1,0.16
Sentimental,1,0.16
Costumbres,1,0.16
Halagos,1,0.16
Madurez personal,1,0.16
Patrones alimentarios,1,0.16
Descripción personal,1,0.16
Seguridad ciudadana,1,0.16
Cultura y entretenimiento,1,0.16
Injusticia social,1,0.16
Tecnología y consumo,1,0.16
Vida cotidiana,1,0.16
Nostalgia y generaciones,1,0.16
Vacaciones y festividades,1,0.16
Sentimiento de uso,1,0.16
Deseo de amor,1,0.16
Carácter fuerte,1,0.16
Doble moral de género,1,0.16
Autoestima y pasado,1,0.16
Viajes y lugares,1,0.16
Resurgimiento de recuerdos,1,0.16
Expresión de cariño,1,0.16
Molestia con situación,1,0.16
Deseo de objeto tecnológico,1,0.16
Compromiso romántico,1,0.16
Comportamiento en redes,1,0.16
Satisfacción personal,1,0.16
Experiencia negativa,1,0.16
Decepción,1,0.16
Llantos sin motivo,1,0.16
Expresión emocional,1,0.16
Lgbtq+,1,0.16
Fin de vacaciones,1,0.16
Concurso,1,0.16
Felicitación,1,0.16
Opinión personal,1,0.16
Malestar personal,1,0.16
Incertidumbre personal,1,0.16
