macrotema_codigo,macrotema,n_tweets,n_usuarios_unicos,porcentaje_tweets
VIDA,"Rutinas, experiencias cotidianas y estados personales",216,28,35.24
REL,"Relaciones personales, afectivas y vida social",174,27,28.38
NOINT,Contenido no interpretable,59,17,9.62
OCIO,"Cultura, ocio y entretenimiento",41,16,6.69
POL,"Política, instituciones y actualidad pública",41,17,6.69
SALUD_COT,"Salud, cuerpo y bienestar cotidiano",25,12,4.08
HUMOR,"Humor, memes y contenido lúdico",13,6,2.12
EDU,Educación y formación,10,6,1.63
DEP,Deporte y competición,9,4,1.47
MEDIOS,"Medios, redes sociales y comunicación digital",7,6,1.14
CONSUMO,"Consumo, tecnología y compras",6,5,0.98
OTROS,Otros temas o contenido ambiguo,5,4,0.82
MOV,"Movilidad, transporte y espacio urbano",4,4,0.65
ECO,"Economía, empleo y vivienda",2,2,0.33
TERR,"Territorio, identidad local y comunidad",1,1,0.16
