usuario,total_tweets,tweets_salud_mental,tweets_no_salud_mental,proporcion_salud_mental
USER_47d8733bb3,25,0,25,0.0
USER_861e6bcfcb,25,0,25,0.0
USER_51adaab768,25,0,25,0.0
USER_c409ed1336,25,1,24,0.04
USER_45ab7ab877,25,0,25,0.0
USER_1e389f8a51,25,4,21,0.16
USER_77b5bc159f,25,1,24,0.04
USER_81ef3168c9,25,0,25,0.0
USER_b823118c86,25,0,25,0.0
USER_d9ed9834f9,25,0,25,0.0
USER_2189d1596e,25,0,25,0.0
USER_21fddbc467,25,0,25,0.0
USER_fe54e23d25,25,0,25,0.0
USER_0b17af9f73,25,0,25,0.0
USER_4cd24688a6,10,0,10,0.0
USER_bc13066755,25,0,25,0.0
USER_73fca39d28,25,0,25,0.0
USER_6786eb621b,25,0,25,0.0
USER_1c9a8239bf,25,0,25,0.0
USER_e80de676e4,25,0,25,0.0
USER_15a2c81b09,25,0,25,0.0
USER_6336fab1dc,25,3,22,0.12
USER_478d9c21dc,25,0,25,0.0
USER_cff2ed3f20,25,0,25,0.0
USER_6517bc0382,25,0,25,0.0
USER_c758282167,25,1,24,0.04
USER_2f000efe31,25,0,25,0.0
USER_5228a5f5ac,25,0,25,0.0
USER_c0cebdafb5,25,0,25,0.0
USER_62cff7402a,25,0,25,0.0
USER_bb7cb9db2f,25,0,25,0.0
USER_b51a0846d6,25,0,25,0.0
USER_f8db173e6c,25,0,25,0.0
USER_b985cd2712,25,0,25,0.0
USER_423b9303fc,25,0,25,0.0
USER_b50ddee0a7,25,0,25,0.0
USER_b7da12132d,25,0,25,0.0
USER_cc0bdb372b,25,0,25,0.0
USER_af1b4d2df0,25,3,22,0.12
USER_cbf68ba714,25,0,25,0.0
USER_3ccc44bbd7,25,0,25,0.0
USER_d894f1a100,25,0,25,0.0
USER_2a4a788f11,25,0,25,0.0
USER_38b357a0f0,25,0,25,0.0
USER_b77948bf80,25,1,24,0.04
USER_15ea7511c5,25,0,25,0.0
USER_b2b4331208,25,0,25,0.0
USER_897dc04e2f,25,0,25,0.0
USER_c4e1696535,25,0,25,0.0
USER_fc99103148,25,0,25,0.0
USER_d2590d0973,25,0,25,0.0
USER_68ea1441b5,25,0,25,0.0
USER_0d06547677,25,0,25,0.0
USER_4f0893e5e8,25,0,25,0.0
USER_825a312f4e,25,0,25,0.0
USER_d4eaf46ad7,25,0,25,0.0
USER_621f3ce621,25,0,25,0.0
USER_386f88fcbc,25,0,25,0.0
USER_7ca2d6de1b,25,0,25,0.0
USER_cb05eb81e6,25,0,25,0.0
USER_622f579d28,25,1,24,0.04
USER_d044877a37,25,1,24,0.04
USER_ee6ae32caf,25,0,25,0.0
USER_3948925a96,25,0,25,0.0
USER_6c222129ce,25,0,25,0.0
USER_a09d74b7ce,25,0,25,0.0
USER_bcb2eb9876,25,0,25,0.0
USER_e2889bcb11,25,0,25,0.0
USER_8cddf7c6ec,25,0,25,0.0
USER_f0aef04d85,25,0,25,0.0
USER_afd02708c6,25,0,25,0.0
