territorio,usuario,tweet
España,USER_1e389f8a51,RT {{USER_MENTION}}: Las comunidades musulmanas de {{LOCATION}} era muy reacias a la soltería+viudez♀️♂️. Con las movilizaciones para las guerras d…
España,USER_1e389f8a51,"RT {{USER_MENTION}}: 19 июня {{NUMBER}} года.
Последний поцелуй Юлиуса и {{PERSON}} перед казнью.
Их обвиняли в передаче атомных секретов {{LOCATION}}…"
España,USER_1e389f8a51,Me la voy a tatuar porque soy literalmente yo tratando de ser algo solo quienes me conocen lo entienden
España,USER_1e389f8a51,Que repelentes sois de verdad
España,USER_1e389f8a51,Esque aún por encima no tengo ganas de comer nada y cuando como me encuentro mal esque no es como superdesproporcionada mi reacción
España,USER_1e389f8a51,Si soy en este momento
España,USER_1e389f8a51,"RT {{USER_MENTION}}: 'Frances Ha' ({{NUMBER}}, {{PERSON}}) {{URL}}"
España,USER_1e389f8a51,Carmen vs máquina de aire
España,USER_1e389f8a51,Literalmente le dije a {{PERSON}} la casa de mis padres y me dijo la tuya osea cuanta razón
España,USER_1e389f8a51,Por lo menos han comprado esto que soy una dramática {{URL}}
España,USER_1e389f8a51,Claro ya se lo que está pasando: realmente si soy yo esa persona solo que esta oculta
España,USER_1e389f8a51,Voy a decir algo muy creepy y seguro que caigo mal por decirlo pero no habéis sentido que vuestro cuerpo está en un espacio que no es vuestro cuerpo
España,USER_1e389f8a51,Me voy a poner un fondo verde y voy a fingir que estoy en {{LOCATION}} o algo así
España,USER_1e389f8a51,Esto no funciona me cago en sus muertos
España,USER_1e389f8a51,Me dará tiempo a aprenderme otro TFM nuevo? {{URL}}
España,USER_1e389f8a51,"RT {{USER_MENTION}}: Plan de este finde🤍.
PD: no comparto lo de usar el término bereber. Mejor amazigh. {{URL}}"
España,USER_1e389f8a51,RT {{USER_MENTION}}: {{PERSON}} a vu le fandom de Code Lyoko dire qu’elle était faible et inutile sur Lyoko alors elle n'avait plus qu'une seul…
España,USER_1e389f8a51,RT {{USER_MENTION}}: Al profesor que ha corregido esto habría que suspenderlo de empleo y sueldo 😂. {{URL}}
España,USER_1e389f8a51,Me voy a quedar sin batería y la ruina va a ser real
España,USER_1e389f8a51,RT {{USER_MENTION}}: graduade de moda. commissions abiertas para fursuits! {{URL}}
España,USER_1e389f8a51,{{PERSON}} lo que pase pase lo que pase sea una mosca o un helicóptero de riesgo no me creo nada
