territorio,usuario,total_tweets,tweets_salud_mental,proporcion_salud_mental,clasificacion_usuario
España,USER_47d8733bb3,25,0,0.0,control
España,USER_861e6bcfcb,25,0,0.0,control
España,USER_51adaab768,25,0,0.0,control
España,USER_c409ed1336,25,1,0.04,control
España,USER_45ab7ab877,25,0,0.0,control
España,USER_1e389f8a51,25,4,0.16,seleccionado
España,USER_77b5bc159f,25,1,0.04,control
España,USER_81ef3168c9,25,0,0.0,control
España,USER_b823118c86,25,0,0.0,control
España,USER_d9ed9834f9,25,0,0.0,control
España,USER_2189d1596e,25,0,0.0,control
España,USER_21fddbc467,25,0,0.0,control
España,USER_fe54e23d25,25,0,0.0,control
España,USER_0b17af9f73,25,0,0.0,control
España,USER_4cd24688a6,10,0,0.0,control
España,USER_bc13066755,25,0,0.0,control
España,USER_73fca39d28,25,0,0.0,control
España,USER_6786eb621b,25,0,0.0,control
España,USER_1c9a8239bf,25,0,0.0,control
España,USER_e80de676e4,25,0,0.0,control
España,USER_15a2c81b09,25,0,0.0,control
España,USER_6336fab1dc,25,3,0.12,seleccionado
España,USER_478d9c21dc,25,0,0.0,control
España,USER_cff2ed3f20,25,0,0.0,control
España,USER_6517bc0382,25,0,0.0,control
España,USER_c758282167,25,1,0.04,control
España,USER_2f000efe31,25,0,0.0,control
España,USER_5228a5f5ac,25,0,0.0,control
España,USER_c0cebdafb5,25,0,0.0,control
España,USER_62cff7402a,25,0,0.0,control
España,USER_bb7cb9db2f,25,0,0.0,control
España,USER_b51a0846d6,25,0,0.0,control
España,USER_f8db173e6c,25,0,0.0,control
España,USER_b985cd2712,25,0,0.0,control
España,USER_423b9303fc,25,0,0.0,control
España,USER_b50ddee0a7,25,0,0.0,control
España,USER_b7da12132d,25,0,0.0,control
España,USER_cc0bdb372b,25,0,0.0,control
España,USER_af1b4d2df0,25,3,0.12,seleccionado
España,USER_cbf68ba714,25,0,0.0,control
España,USER_3ccc44bbd7,25,0,0.0,control
España,USER_d894f1a100,25,0,0.0,control
España,USER_2a4a788f11,25,0,0.0,control
España,USER_38b357a0f0,25,0,0.0,control
España,USER_b77948bf80,25,1,0.04,control
España,USER_15ea7511c5,25,0,0.0,control
España,USER_b2b4331208,25,0,0.0,control
España,USER_897dc04e2f,25,0,0.0,control
España,USER_c4e1696535,25,0,0.0,control
España,USER_fc99103148,25,0,0.0,control
España,USER_d2590d0973,25,0,0.0,control
España,USER_68ea1441b5,25,0,0.0,control
España,USER_0d06547677,25,0,0.0,control
España,USER_4f0893e5e8,25,0,0.0,control
España,USER_825a312f4e,25,0,0.0,control
España,USER_d4eaf46ad7,25,0,0.0,control
España,USER_621f3ce621,25,0,0.0,control
España,USER_386f88fcbc,25,0,0.0,control
España,USER_7ca2d6de1b,25,0,0.0,control
España,USER_cb05eb81e6,25,0,0.0,control
España,USER_622f579d28,25,1,0.04,control
España,USER_d044877a37,25,1,0.04,control
España,USER_ee6ae32caf,25,0,0.0,control
España,USER_3948925a96,25,0,0.0,control
España,USER_6c222129ce,25,0,0.0,control
España,USER_a09d74b7ce,25,0,0.0,control
España,USER_bcb2eb9876,25,0,0.0,control
España,USER_e2889bcb11,25,0,0.0,control
España,USER_8cddf7c6ec,25,0,0.0,control
España,USER_f0aef04d85,25,0,0.0,control
España,USER_afd02708c6,25,0,0.0,control
España,USER_56d9c1e613,25,0,0.0,control
España,USER_ab912ce216,25,0,0.0,control
España,USER_66391f522a,25,0,0.0,control
España,USER_7e841a3827,25,0,0.0,control
España,USER_b6fb4ff70e,25,0,0.0,control
España,USER_ae4bdc9d37,25,0,0.0,control
España,USER_a5b7a50823,25,0,0.0,control
España,USER_a31cc8c413,25,0,0.0,control
España,USER_6c20653c4b,25,0,0.0,control
España,USER_c7c683a2c3,25,0,0.0,control
España,USER_6e4a61baaa,25,1,0.04,control
España,USER_a3c81e649c,25,0,0.0,control
España,USER_90f7e5dcbd,25,0,0.0,control
España,USER_c068ec311c,25,0,0.0,control
España,USER_a03bb9aa02,25,0,0.0,control
España,USER_776c75589a,25,0,0.0,control
España,USER_1593d46499,25,0,0.0,control
España,USER_91ead16ac5,25,0,0.0,control
España,USER_1c3da46908,25,0,0.0,control
España,USER_af62d2ef40,25,0,0.0,control
España,USER_ee1c944b66,25,0,0.0,control
España,USER_5f35474971,25,1,0.04,control
España,USER_b31a220152,25,0,0.0,control
España,USER_a12c95befa,25,0,0.0,control
España,USER_80f533ae92,25,0,0.0,control
España,USER_1e5116a21e,25,0,0.0,control
España,USER_ab293882b5,25,0,0.0,control
España,USER_fc9e2415ca,25,0,0.0,control
España,USER_b0881de1b2,25,0,0.0,control
España,USER_7aba73825d,25,0,0.0,control
España,USER_9abee9f39d,25,0,0.0,control
España,USER_1c53dd03e9,25,0,0.0,control
España,USER_b7fe4f93c3,25,0,0.0,control
España,USER_32d68c0656,25,0,0.0,control
España,USER_f1b826ef42,25,0,0.0,control
España,USER_b5815f98a8,25,0,0.0,control
España,USER_5811d77b9c,25,0,0.0,control
España,USER_b1203f965b,25,0,0.0,control
España,USER_9c702ef12b,25,0,0.0,control
España,USER_59368177f8,25,0,0.0,control
España,USER_7e93ca6fcc,25,0,0.0,control
España,USER_4c9fee6b04,25,0,0.0,control
España,USER_a322901d5d,25,1,0.04,control
España,USER_ca26daf761,25,0,0.0,control
España,USER_b136967052,25,0,0.0,control
España,USER_46be7f4e64,25,0,0.0,control
España,USER_f651072994,25,0,0.0,control
España,USER_211713d7de,25,0,0.0,control
España,USER_4bf6f8726d,25,0,0.0,control
España,USER_83334eff27,25,0,0.0,control
España,USER_ddf23be3dc,25,0,0.0,control
España,USER_2691ac3479,25,0,0.0,control
España,USER_e3512fb0a7,25,0,0.0,control
España,USER_9786f835e8,25,0,0.0,control
España,USER_e25c960510,25,0,0.0,control
España,USER_e6a256fb7f,25,0,0.0,control
España,USER_b7d78e9325,25,1,0.04,control
España,USER_1c725d8521,25,0,0.0,control
España,USER_6ae9901c11,25,0,0.0,control
España,USER_df916f5a43,25,0,0.0,control
España,USER_e71783e773,25,0,0.0,control
España,USER_7237b48445,25,0,0.0,control
