microtema,frecuencia,porcentaje
Contenido no interpretable,104,25.74
Humor,11,2.72
Reflexión personal,9,2.23
Reflexión existencial,5,1.24
Lanzamiento musical,5,1.24
Crítica política,5,1.24
Actividad en redes,5,1.24
Frustración,4,0.99
Música en vivo,4,0.99
Planificación musical,3,0.74
Planes sociales,3,0.74
Añoranza,3,0.74
Crítica política y corrupción,3,0.74
Producción musical,2,0.5
Afecto/amistad,2,0.5
Publicación de libros,2,0.5
Romance/poesía,2,0.5
Proceso de producción musical,2,0.5
Crítica social,2,0.5
Reflexión optimista,2,0.5
Relaciones personales,2,0.5
Reacción emocional,2,0.5
Valores en relaciones,2,0.5
Interacciones personales,2,0.5
Sentimientos personales,2,0.5
Interacción personal,2,0.5
Percepción personal,2,0.5
Agradecimiento,2,0.5
Recuerdos,2,0.5
Sentimientos,2,0.5
Estado de ánimo,2,0.5
Sentimientos/relaciones,2,0.5
Apreciación musical,1,0.25
Sentimiento de exclusión,1,0.25
Competición de rap,1,0.25
Desánimo semanal,1,0.25
Compras y humor,1,0.25
Cine y series,1,0.25
Identificación personal,1,0.25
Anécdota personal,1,0.25
Interacción humorística,1,0.25
Tecnología y ocio,1,0.25
Duelo y enfermedad,1,0.25
Duelo,1,0.25
Queja humorística,1,0.25
Actitud personal,1,0.25
Resignación,1,0.25
Expresión de humor,1,0.25
Celebración de cumpleaños,1,0.25
Reacción a ficción,1,0.25
Aprecio por relaciones,1,0.25
Humor y interacción,1,0.25
Deportes y comunidad,1,0.25
Crítica política y cultura,1,0.25
Día de la madre y nostalgia,1,0.25
Crítica a políticos,1,0.25
Crítica a la sanidad pública y corrupción,1,0.25
Crítica al periodismo,1,0.25
Búsqueda de apoyo profesional,1,0.25
Malestar físico/emocional,1,0.25
Autoestima física,1,0.25
Autoafirmación,1,0.25
Cambio de ánimo positivo,1,0.25
Confianza mutua,1,0.25
Admiración/gratitud,1,0.25
Apreciación positiva,1,0.25
Medios y política,1,0.25
Humor político,1,0.25
Corrupción,1,0.25
Historia y lingüística,1,0.25
Afrontamiento personal,1,0.25
Autorreflexión,1,0.25
Crítica a gestión de emergencias,1,0.25
Gasto público,1,0.25
Amor/romance,1,0.25
Amor/relaciones,1,0.25
Viajes/naturaleza,1,0.25
Crítica/humor,1,0.25
Fotografía,1,0.25
Pregunta reflexiva,1,0.25
Autoaceptación,1,0.25
Nuevos intereses,1,0.25
Reflexión personal/tiempo,1,0.25
Libertad personal/rebeldía,1,0.25
Deportes (boxeo),1,0.25
Empoderamiento femenino,1,0.25
Búsqueda de sentido/filosofía,1,0.25
Reflexión social/filosofía,1,0.25
Naturaleza/poesía,1,0.25
Flirteo/interacción personal,1,0.25
Promoción musical,1,0.25
Identidad artística,1,0.25
Defensa de autoría,1,0.25
Interacción con audiencia,1,0.25
Logro en videojuego,1,0.25
Malestar físico,1,0.25
Autoexpresión personal,1,0.25
Historia,1,0.25
Crítica académica y humor,1,0.25
Fandom y series,1,0.25
Arte y diseño,1,0.25
Tecnología y vida cotidiana,1,0.25
Escepticismo,1,0.25
Sensibilidad cultural,1,0.25
Estudios y trabajo,1,0.25
Historia y cultura,1,0.25
Vida estudiantil,1,0.25
Comunicación urgente,1,0.25
Planes de ocio,1,0.25
Motivación personal,1,0.25
Interacciones en redes sociales,1,0.25
Creatividad,1,0.25
Estudios y ocio,1,0.25
Entretenimiento,1,0.25
Queja sobre contenido digital,1,0.25
Crítica interpersonal,1,0.25
Vida personal,1,0.25
Agradecimiento a fans,1,0.25
Desapego emocional,1,0.25
Elogio y afecto,1,0.25
Deseo de viajar,1,0.25
Desamor,1,0.25
Alivio por separación,1,0.25
Participación en trend,1,0.25
Amistad,1,0.25
Desilusión,1,0.25
Introversión,1,0.25
Curiosidad,1,0.25
Identificación,1,0.25
Inseguridad personal,1,0.25
Opiniones,1,0.25
Comentario personal,1,0.25
Romance,1,0.25
Intriga,1,0.25
Apreciación personal,1,0.25
Superación personal,1,0.25
Desilusión amorosa,1,0.25
Redes sociales,1,0.25
Observación de la demanda,1,0.25
Anécdota social/humor,1,0.25
Preparativos/eventos,1,0.25
Conducción/tráfico,1,0.25
Frustración/problemas,1,0.25
Reflexión pesimista/problemas,1,0.25
Deseo de atención,1,0.25
Cuidado personal/belleza,1,0.25
Cansancio/rutina,1,0.25
Incertidumbre/relaciones,1,0.25
Conflicto/relaciones,1,0.25
Drama personal/relaciones,1,0.25
Reflexión personal/humor,1,0.25
Elogio/apoyo,1,0.25
Música,1,0.25
Consejo social/ocio,1,0.25
Reflexión,1,0.25
Proyectos personales,1,0.25
Sentimiento de mala suerte,1,0.25
Queja/frustración,1,0.25
Comentario sobre belleza,1,0.25
Humor sobre relaciones,1,0.25
Saludos diarios,1,0.25
Agradecimiento por apoyo,1,0.25
Queja sobre injusticia social,1,0.25
Reflexión sobre relaciones,1,0.25
Música y ocio,1,0.25
Queja sobre redes sociales,1,0.25
Evento/promoción,1,0.25
Sentimientos contradictorios,1,0.25
Sentimientos complejos,1,0.25
Sentimientos de ausencia,1,0.25
Deseo estacional,1,0.25
Cuestionamiento existencial,1,0.25
Amor,1,0.25
Música y referencias pop,1,0.25
Conflicto familiar,1,0.25
Desilusión familiar,1,0.25
Filosofía,1,0.25
Desahogo personal,1,0.25
Planes futuros,1,0.25
Duda emocional,1,0.25
Vuelta a clases,1,0.25
Frustración social,1,0.25
Reflexión sobre el cambio,1,0.25
Interacción social,1,0.25
Lucha personal,1,0.25
Consejo de vida,1,0.25
Astrología,1,0.25
Propiedad intelectual,1,0.25
Ocio y descanso,1,0.25
Preferencias personales,1,0.25
Reto social,1,0.25
Humor autorreferencial,1,0.25
Fatiga digital,1,0.25
Conflicto relacional,1,0.25
Decepción,1,0.25
Muerte,1,0.25
Celebración familiar,1,0.25
Cultura pop,1,0.25
Estudios universitarios,1,0.25
Exámenes de acceso,1,0.25
Relaciones interpersonales,1,0.25
Relaciones pasadas,1,0.25
Gimnasio,1,0.25
Insulto/agresión verbal,1,0.25
Actividad doméstica,1,0.25
Estudios,1,0.25
Queja,1,0.25
Humor irreverente,1,0.25
Observación social,1,0.25
Problema social,1,0.25
Búsqueda de vivienda,1,0.25
Intereses personales,1,0.25
Percepción del tiempo,1,0.25
Necesidad de consuelo,1,0.25
Emociones,1,0.25
Opinión personal,1,0.25
Reflexión sobre la vida,1,0.25
Superación de una relación,1,0.25
Reflexión sobre la pérdida,1,0.25
Sentimiento de desatención,1,0.25
Escritura,1,0.25
Reflexión social,1,0.25
Resiliencia personal,1,0.25
Vida cotidiana,1,0.25
Deseo de afecto,1,0.25
Lucha personal y crecimiento,1,0.25
Dificultad de autocuidado,1,0.25
Deseo de interacciones positivas,1,0.25
Afirmación personal,1,0.25
Gestión emocional,1,0.25
Superación de críticas,1,0.25
Gratitud y resiliencia,1,0.25
Gratitud por el apoyo,1,0.25
Crecimiento personal y empoderamiento,1,0.25
