territorio,usuario,tweet,microtema
España,USER_1e389f8a51,RT {{USER_MENTION}}: Las comunidades musulmanas de {{LOCATION}} era muy reacias a la soltería+viudez♀️♂️. Con las movilizaciones para las guerras d…,Historia y cultura
España,USER_1e389f8a51,"RT {{USER_MENTION}}: 19 июня {{NUMBER}} года.
Последний поцелуй Юлиуса и {{PERSON}} перед казнью.
Их обвиняли в передаче атомных секретов {{LOCATION}}…",Historia
España,USER_1e389f8a51,Me la voy a tatuar porque soy literalmente yo tratando de ser algo solo quienes me conocen lo entienden,Autoexpresión personal
España,USER_1e389f8a51,Que repelentes sois de verdad,Crítica social
España,USER_1e389f8a51,Esque aún por encima no tengo ganas de comer nada y cuando como me encuentro mal esque no es como superdesproporcionada mi reacción,Malestar físico
España,USER_1e389f8a51,Si soy en este momento,Identificación personal
España,USER_1e389f8a51,"RT {{USER_MENTION}}: 'Frances Ha' ({{NUMBER}}, {{PERSON}}) {{URL}}",Cine y series
España,USER_1e389f8a51,Carmen vs máquina de aire,Interacción humorística
España,USER_1e389f8a51,Literalmente le dije a {{PERSON}} la casa de mis padres y me dijo la tuya osea cuanta razón,Anécdota personal
España,USER_1e389f8a51,Por lo menos han comprado esto que soy una dramática {{URL}},Compras y humor
España,USER_1e389f8a51,Claro ya se lo que está pasando: realmente si soy yo esa persona solo que esta oculta,Reflexión personal
España,USER_1e389f8a51,Voy a decir algo muy creepy y seguro que caigo mal por decirlo pero no habéis sentido que vuestro cuerpo está en un espacio que no es vuestro cuerpo,Reflexión existencial
España,USER_1e389f8a51,Me voy a poner un fondo verde y voy a fingir que estoy en {{LOCATION}} o algo así,Tecnología y ocio
España,USER_1e389f8a51,Esto no funciona me cago en sus muertos,Frustración
España,USER_1e389f8a51,Me dará tiempo a aprenderme otro TFM nuevo? {{URL}},Estudios y trabajo
España,USER_1e389f8a51,"RT {{USER_MENTION}}: Plan de este finde🤍.
PD: no comparto lo de usar el término bereber. Mejor amazigh. {{URL}}",Sensibilidad cultural
España,USER_1e389f8a51,RT {{USER_MENTION}}: {{PERSON}} a vu le fandom de Code Lyoko dire qu’elle était faible et inutile sur Lyoko alors elle n'avait plus qu'une seul…,Fandom y series
España,USER_1e389f8a51,RT {{USER_MENTION}}: Al profesor que ha corregido esto habría que suspenderlo de empleo y sueldo 😂. {{URL}},Crítica académica y humor
España,USER_1e389f8a51,Me voy a quedar sin batería y la ruina va a ser real,Tecnología y vida cotidiana
España,USER_1e389f8a51,RT {{USER_MENTION}}: graduade de moda. commissions abiertas para fursuits! {{URL}},Arte y diseño
España,USER_1e389f8a51,{{PERSON}} lo que pase pase lo que pase sea una mosca o un helicóptero de riesgo no me creo nada,Escepticismo
España,USER_6336fab1dc,"A veces, una sonrisa es todo lo que se necesita para mejorar un día. {{URL}}",Reflexión optimista
España,USER_6336fab1dc,Existe algo mejor que linkin park acompañado de lluvia?,Apreciación musical
España,USER_6336fab1dc,"Es viernes, pero lo siento como un lunes... algo estoy haciendo mal",Desánimo semanal
España,USER_6336fab1dc,#BatallaDeLosGallos BRUTAAAAAAL LA REPLICA DIOS MIO NIVELAZO DE FORCE,Competición de rap
España,USER_6336fab1dc,{{USER_MENTION}} y {{USER_MENTION}}  tenemos que hacer un reencuentro epico.,Planes sociales
España,USER_6336fab1dc,La vida se vive mejor con una sonrisa. {{URL}},Reflexión optimista
España,USER_6336fab1dc,Y en ninguna aparezco yo de prota. {{URL}},Sentimiento de exclusión
España,USER_6336fab1dc,Demasiadas. {{URL}},Contenido no interpretable
España,USER_6336fab1dc,{{USER_MENTION}} {{USER_MENTION}} {{USER_MENTION}} 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 {{URL}},Humor y interacción
España,USER_6336fab1dc,"Es increíble ver como siguen sumando los momentos que compartimos juntos, la cantidad de… {{URL}}",Aprecio por relaciones
España,USER_6336fab1dc,¡Soy la 0.ª persona que se ha pasado el paquete Rata de WordBrain en todo el mundo! #wordbrain #words,Logro en videojuego
España,USER_6336fab1dc,Otro año más todos juntos disfrutando de este gran deporte que une a tantas personas. Os doy las… {{URL}},Deportes y comunidad
España,USER_6336fab1dc,😍😍😍😍😍 {{URL}},Contenido no interpretable
España,USER_6336fab1dc,Ayer fue un gran día con los mejores. Espero que nuestra cumpleañera se lo pasara tan bien como… {{URL}},Celebración de cumpleaños
España,USER_6336fab1dc,Creo que esto lo llevo grabado a fuego. {{URL}},Reflexión personal
España,USER_6336fab1dc,Siempre lloro con au muerte..,Reacción a ficción
España,USER_6336fab1dc,Flipping😂😂😂,Expresión de humor
España,USER_6336fab1dc,Me lo apunto en cosas que nunca van a pasar.,Resignación
España,USER_6336fab1dc,Vaya mañana llevo😂😂😂😂,Queja humorística
España,USER_6336fab1dc,"Mi frase en ma vida ""yo paso""",Actitud personal
España,USER_6336fab1dc,Eso me digo... {{URL}},Reflexión personal
España,USER_6336fab1dc,{{PERSON}} girl. {{URL}},Contenido no interpretable
España,USER_af1b4d2df0,Espero ver el día en el que se erradique esta lacra llamada cáncer que nos roba tanta gente bonita y amigos. {{PERSON}} enorme para familiares y amigos de {{PERSON}} 💔💔💔,Duelo y enfermedad
