territorio,usuario,tweet
Catalán,USER_698f0f2445,RT {{USER_MENTION}}: good things look good on grateful people.
Catalán,USER_698f0f2445,"Great track from a classic album! #rnb #ilovemusic {{USER_MENTION}}

{{URL}}"
Catalán,USER_698f0f2445,"RT {{USER_MENTION}}: No I will absolutely not shut up about being a survivor of the grooming gangs around the UK.

We aren’t just a statistic,…"
Catalán,USER_698f0f2445,RT {{USER_MENTION}}: you can tell a lot about a person by what they chose to see in you.
Catalán,USER_698f0f2445,"RT {{USER_MENTION}}: {{PERSON}} is a hero. 

She jumped into that crocodile enclosure and saved that child. {{URL}}"
Catalán,USER_698f0f2445,"RT {{USER_MENTION}}: I hope one day each line on my face, each grey in my hair, the curves of my hips, scars in my heart, will tell the story of…"
Catalán,USER_698f0f2445,RT {{USER_MENTION}}: be yourself for yourself by yourself
Catalán,USER_698f0f2445,RT {{USER_MENTION}}: i want to be so disgustingly well read. i want to be sitting at tables and speaking of books with names that roll off yo…
Catalán,USER_698f0f2445,RT {{USER_MENTION}}: Right! Let's see if this attempt falls upon deaf ears again. I won't be silenced &amp; i won't stop .. {{URL}}
Catalán,USER_698f0f2445,"Great song! Old school vibes from {{NUMBER}}!
{{USER_MENTION}} 
#rnb #ilovemusic 
{{URL}}"
Catalán,USER_698f0f2445,RT {{USER_MENTION}}: {{USER_MENTION}} 🙏❤️
Catalán,USER_698f0f2445,"RT {{USER_MENTION}}: {{USER_MENTION}} As a survivor as well, I'm sending you the biggest hug. It's awesome that you're on this path. God bles…"
Catalán,USER_698f0f2445,"RT {{USER_MENTION}}: What do you think this means? It's taken from my third and final #poetry collection available in paperback, ebook and au…"
Catalán,USER_698f0f2445,"RT {{USER_MENTION}}: If you are a writer, this is it…
Write. Read. Edit. Get feedback. Submit. {{LOCATION}}. {{LOCATION}}. {{LOCATION}}. 
Read more than you write. {{LOCATION}}…"
Catalán,USER_698f0f2445,RT {{USER_MENTION}}: Sketchbook page. Ink and color with markers #art #drawing #dailyart #sketch #freehandsketch {{URL}}
Catalán,USER_698f0f2445,RT {{USER_MENTION}}: Ain’t no days off when you depend on YOU.
Catalán,USER_698f0f2445,"These were my top selling artworks last month. Postage is included in the price.  I describe my art style as dark pop art with a {{PERSON}}. 
You can browse more of my designs here {{URL}}

#art #artistoftwitter #mentalhealth {{URL}}"
Catalán,USER_698f0f2445,"What do you think this means? It's taken from my third and final #poetry collection available in paperback, ebook and audiobook here {{URL}} 

#poetrytwitter #poetrylovers {{URL}}"
Catalán,USER_698f0f2445,"""My beginning and the ending as the world is spinning
Ménages with strange women
The Devil grinning""
Big up {{USER_MENTION}}  #hiphop 
{{URL}}"
