usuario,total_tweets,tweets_salud_mental,tweets_no_salud_mental,proporcion_salud_mental
USER_698f0f2445,25,0,25,0.0
USER_8a9dda3c02,25,0,25,0.0
USER_46493c4d41,25,0,25,0.0
USER_0f49e60866,25,0,25,0.0
USER_76e303d551,25,0,25,0.0
USER_2967304946,25,0,25,0.0
USER_092586f5e3,25,0,25,0.0
USER_7cc9f30d6a,25,0,25,0.0
USER_69ea123d23,25,0,25,0.0
USER_3c79286e90,25,0,25,0.0
USER_a3e392d57c,5,0,5,0.0
USER_e60b4176ea,25,0,25,0.0
USER_64f5fc8b63,25,0,25,0.0
USER_4707f08658,25,0,25,0.0
USER_4488bee781,25,0,25,0.0
USER_3e2c300275,25,0,25,0.0
USER_6fde1f8a68,25,0,25,0.0
USER_0397a0a72d,25,0,25,0.0
USER_18374a9605,25,0,25,0.0
USER_872df003ff,25,0,25,0.0
USER_4fb0aae4e5,25,0,25,0.0
USER_843e37a649,25,0,25,0.0
USER_683723ad46,25,0,25,0.0
USER_a941a466b1,25,0,25,0.0
USER_d181173dc3,25,0,25,0.0
USER_23e529897a,25,0,25,0.0
USER_2f6d999808,25,0,25,0.0
USER_1161e3be44,25,0,25,0.0
USER_d6db15d3e6,25,0,25,0.0
USER_fe6e3ba03d,25,0,25,0.0
USER_e87efb307e,25,0,25,0.0
USER_5a455017a0,25,0,25,0.0
USER_e25fbc4919,25,0,25,0.0
USER_c6502cf16b,25,0,25,0.0
USER_3f09c3f753,25,0,25,0.0
USER_0c5f7b3829,25,0,25,0.0
USER_a62c279648,25,0,25,0.0
USER_899bf9bf2c,25,0,25,0.0
USER_386f88fcbc,25,0,25,0.0
USER_232d22bdd5,25,0,25,0.0
USER_67a02d62e8,25,0,25,0.0
USER_775b082d51,25,0,25,0.0
USER_2b5868d55f,25,0,25,0.0
USER_db65dc91b9,25,0,25,0.0
USER_9482c48420,25,0,25,0.0
USER_95b1f01503,25,0,25,0.0
USER_483cc0c3b9,25,0,25,0.0
USER_f637537698,25,0,25,0.0
USER_91de8e5fde,25,0,25,0.0
USER_de92172eca,25,0,25,0.0
USER_6cecbc39ab,25,0,25,0.0
USER_1c91e38ea5,25,0,25,0.0
USER_9792292abe,25,0,25,0.0
USER_5fa099aa29,25,0,25,0.0
USER_aef14651fb,25,0,25,0.0
USER_089ce95815,25,0,25,0.0
USER_cc5a750611,25,0,25,0.0
USER_b76c1a10d9,25,0,25,0.0
USER_455937a05a,25,0,25,0.0
USER_10ad87129a,25,0,25,0.0
USER_780aeba502,25,0,25,0.0
USER_6005f3311c,25,0,25,0.0
USER_96867da28e,25,0,25,0.0
USER_78b4a6d0b8,25,0,25,0.0
USER_d7b5cd287c,25,0,25,0.0
USER_d72c4fadc7,25,0,25,0.0
USER_14978aba20,25,0,25,0.0
USER_ae08bed250,25,0,25,0.0
USER_817d1867e5,25,0,25,0.0
USER_ceb68b174b,25,0,25,0.0
USER_a737c4a859,23,0,23,0.0
USER_81805fc72a,25,0,25,0.0
USER_5a4db44dae,25,0,25,0.0
USER_b8e3e92af3,25,0,25,0.0
USER_d6da7a62fc,25,0,25,0.0
USER_a6ed7517f2,25,0,25,0.0
