territorio,usuario,tweet
Euskera,USER_48a50a6085,De toda la vida #Eurovision es política y os dais cuenta este año? De verdad?😂😂😂😂😂
Euskera,USER_48a50a6085,A día de hoy creo que nadie
Euskera,USER_48a50a6085,Tenía que compartir mi emoción 😍
Euskera,USER_48a50a6085,"Y LO MEJOR DE LA VIDA, EL VIERNES VOY AL ESTRENO DE ANIMALES FANTÁSTICOS 😍😍😍😍😍😍 ay que emoción"
Euskera,USER_48a50a6085,Quiero dormir todo el día
Euskera,USER_48a50a6085,🥲
Euskera,USER_48a50a6085,Mi vida ahora
Euskera,USER_48a50a6085,NECESITO QUE SALGA EL SOL
Euskera,USER_48a50a6085,Primer día de dieta. Voy que exploto de toda la comida 🙃🙃🙃
Euskera,USER_48a50a6085,En este momento:
Euskera,USER_48a50a6085,"No estoy hecha para madrugar la verdad. Para mí la hora perfecta son las 9, no las 7😿💔"
Euskera,USER_48a50a6085,😶
Euskera,USER_48a50a6085,Destruirlo
Euskera,USER_48a50a6085,Que difícil es que alguien piense así 🤦🏼‍♀️
Euskera,USER_48a50a6085,Y por fin lo entendí
Euskera,USER_48a50a6085,"Habéis conocido a esa persona, que después de tanto tiempo pienses y afirmes, ¿como alguien puede ser tan tan malo? ¿De ser tan tan mala persona? Porque yo si"
Euskera,USER_48a50a6085,"Que poco valor tienes para hacer las cosas bien hechas, de verdad"
Euskera,USER_48a50a6085,En todos los sitios bloqueada y me llamas? Pero que clase de hipocresía es esa? 🤷🏼‍♀️
Euskera,USER_48a50a6085,"Te crees cualquier tontería que te digan porque deseas tanto, de verdad, deseas tanto no ser el único que la ha jodido que actúas como un ciego sin sentimientos."
Euskera,USER_48a50a6085,"{{PERSON}}, llegará el día que veas la realidad y te arrepentirás de tus actos xd"
Euskera,USER_48a50a6085,El sentido de las indirectas a día de hoy? Porque yo no lo veo 😂😂😂
Euskera,USER_47eead28ae,"Holi, llevo un tiempo trabajando de manicurista y estas son algunas uñas que he hecho &lt;3
Agradecería difusión
Interesados DM :&gt; 
{{LOCATION}}, {{LOCATION}} {{URL}}"
Euskera,USER_47eead28ae,Odio a los viejos huelen mal y dan asco
Euskera,USER_47eead28ae,Vivo enamorada de {{LOCATION}} quiero vivir ahí 😔
Euskera,USER_47eead28ae,Casi 8 años que mis papás no están juntos y echo de menos que estén los dos. Voy a llorar
Euskera,USER_47eead28ae,Por qué julio es tan largo??? No se puede acabar y este mes de mierda ? Dios
Euskera,USER_47eead28ae,Necesito seguir leyendo berserk :(
Euskera,USER_47eead28ae,{{URL}}
Euskera,USER_47eead28ae,Definitivamente soy una morning person
Euskera,USER_47eead28ae,Solo hay dos cosas que me emocionan en el mundo 1 es {{PERSON}} y lo otro es berserk
Euskera,USER_47eead28ae,Vengo a recordar que quiero mucho a {{PERSON}} otra vez
Euskera,USER_47eead28ae,Tengo al mejor novio del mundo (indiscutible)
Euskera,USER_47eead28ae,Mi vida que precioso 💗
Euskera,USER_47eead28ae,Bro ahora mismo {{LOCATION}} es marrón
Euskera,USER_47eead28ae,Siempre voy a estar aquí para ti 💗
Euskera,USER_47eead28ae,"{{PERSON}}, eres lo mejor del mundo &lt;3"
Euskera,USER_47eead28ae,uwu momento {{URL}}
Euskera,USER_47eead28ae,Me veo cada día los vídeos de tik tok que tengo contigo 💗💗
Euskera,USER_47eead28ae,Mi piedrita &lt;3
Euskera,USER_47eead28ae,No quiero ir a clase hoy
Euskera,USER_47eead28ae,Mi novio me sigue queriendo aún sabiendo que soy fan no irónica de Vocaloid
Euskera,USER_47eead28ae,Escuchar cantar a {{PERSON}} eufórico me da años de vida {{PERSON}}💗
Euskera,USER_47eead28ae,Domingos de shingeki y {{PERSON}}
