territorio,usuario,total_tweets,tweets_salud_mental,proporcion_salud_mental,clasificacion_usuario
Euskera,USER_698f0f2445,25,0,0.0,control
Euskera,USER_8a9dda3c02,25,0,0.0,control
Euskera,USER_46493c4d41,25,0,0.0,control
Euskera,USER_0f49e60866,25,0,0.0,control
Euskera,USER_76e303d551,25,0,0.0,control
Euskera,USER_2967304946,25,0,0.0,control
Euskera,USER_092586f5e3,25,0,0.0,control
Euskera,USER_7cc9f30d6a,25,0,0.0,control
Euskera,USER_69ea123d23,25,0,0.0,control
Euskera,USER_3c79286e90,25,0,0.0,control
Euskera,USER_a3e392d57c,5,0,0.0,control
Euskera,USER_e60b4176ea,25,0,0.0,control
Euskera,USER_64f5fc8b63,25,0,0.0,control
Euskera,USER_4707f08658,25,0,0.0,control
Euskera,USER_4488bee781,25,0,0.0,control
Euskera,USER_3e2c300275,25,0,0.0,control
Euskera,USER_6fde1f8a68,25,0,0.0,control
Euskera,USER_0397a0a72d,25,0,0.0,control
Euskera,USER_18374a9605,25,0,0.0,control
Euskera,USER_872df003ff,25,0,0.0,control
Euskera,USER_4fb0aae4e5,25,0,0.0,control
Euskera,USER_843e37a649,25,0,0.0,control
Euskera,USER_683723ad46,25,0,0.0,control
Euskera,USER_a941a466b1,25,0,0.0,control
Euskera,USER_d181173dc3,25,0,0.0,control
Euskera,USER_23e529897a,25,0,0.0,control
Euskera,USER_2f6d999808,25,0,0.0,control
Euskera,USER_1161e3be44,25,0,0.0,control
Euskera,USER_d6db15d3e6,25,0,0.0,control
Euskera,USER_fe6e3ba03d,25,0,0.0,control
Euskera,USER_e87efb307e,25,0,0.0,control
Euskera,USER_5a455017a0,25,0,0.0,control
Euskera,USER_e25fbc4919,25,0,0.0,control
Euskera,USER_c6502cf16b,25,0,0.0,control
Euskera,USER_3f09c3f753,25,0,0.0,control
Euskera,USER_0c5f7b3829,25,0,0.0,control
Euskera,USER_a62c279648,25,0,0.0,control
Euskera,USER_899bf9bf2c,25,0,0.0,control
Euskera,USER_386f88fcbc,25,0,0.0,control
Euskera,USER_232d22bdd5,25,0,0.0,control
Euskera,USER_67a02d62e8,25,0,0.0,control
Euskera,USER_775b082d51,25,0,0.0,control
Euskera,USER_2b5868d55f,25,0,0.0,control
Euskera,USER_db65dc91b9,25,0,0.0,control
Euskera,USER_9482c48420,25,0,0.0,control
Euskera,USER_95b1f01503,25,0,0.0,control
Euskera,USER_483cc0c3b9,25,0,0.0,control
Euskera,USER_f637537698,25,0,0.0,control
Euskera,USER_91de8e5fde,25,0,0.0,control
Euskera,USER_de92172eca,25,0,0.0,control
Euskera,USER_6cecbc39ab,25,0,0.0,control
Euskera,USER_1c91e38ea5,25,0,0.0,control
Euskera,USER_9792292abe,25,0,0.0,control
Euskera,USER_5fa099aa29,25,0,0.0,control
Euskera,USER_aef14651fb,25,0,0.0,control
Euskera,USER_089ce95815,25,0,0.0,control
Euskera,USER_cc5a750611,25,0,0.0,control
Euskera,USER_b76c1a10d9,25,0,0.0,control
Euskera,USER_455937a05a,25,0,0.0,control
Euskera,USER_10ad87129a,25,0,0.0,control
Euskera,USER_780aeba502,25,0,0.0,control
Euskera,USER_6005f3311c,25,0,0.0,control
Euskera,USER_96867da28e,25,0,0.0,control
Euskera,USER_78b4a6d0b8,25,0,0.0,control
Euskera,USER_d7b5cd287c,25,0,0.0,control
Euskera,USER_d72c4fadc7,25,0,0.0,control
Euskera,USER_14978aba20,25,0,0.0,control
Euskera,USER_ae08bed250,25,0,0.0,control
Euskera,USER_817d1867e5,25,0,0.0,control
Euskera,USER_ceb68b174b,25,0,0.0,control
Euskera,USER_a737c4a859,23,0,0.0,control
Euskera,USER_81805fc72a,25,0,0.0,control
Euskera,USER_5a4db44dae,25,0,0.0,control
Euskera,USER_b8e3e92af3,25,0,0.0,control
Euskera,USER_d6da7a62fc,25,0,0.0,control
Euskera,USER_a6ed7517f2,25,0,0.0,control
Euskera,USER_8db1ff8cd1,25,0,0.0,control
Euskera,USER_d389e6e1d4,25,0,0.0,control
Euskera,USER_73017646e5,7,0,0.0,control
Euskera,USER_09a0ff7dd9,25,0,0.0,control
Euskera,USER_d0d0fde9ee,25,0,0.0,control
Euskera,USER_48d0346fae,25,0,0.0,control
Euskera,USER_8e8e1cc8f2,25,0,0.0,control
Euskera,USER_2e7b2ba5ab,25,0,0.0,control
Euskera,USER_e6c0c3c501,25,0,0.0,control
Euskera,USER_084dae96b5,25,0,0.0,control
Euskera,USER_23a658de2c,25,0,0.0,control
Euskera,USER_9ead21a595,25,0,0.0,control
Euskera,USER_851629266e,25,0,0.0,control
Euskera,USER_f39b366fed,25,0,0.0,control
Euskera,USER_1a2363c5d2,25,0,0.0,control
Euskera,USER_890bbcf931,25,0,0.0,control
Euskera,USER_4f616324ba,25,0,0.0,control
Euskera,USER_1dd9b786f7,25,0,0.0,control
Euskera,USER_8f0e3b505f,25,0,0.0,control
Euskera,USER_8de64fb074,25,0,0.0,control
Euskera,USER_a0fccfbfc2,25,0,0.0,control
Euskera,USER_4131167710,25,0,0.0,control
Euskera,USER_efd56979c9,25,0,0.0,control
Euskera,USER_c677edf11e,25,0,0.0,control
Euskera,USER_1809afef7d,25,0,0.0,control
Euskera,USER_3626246e1d,25,0,0.0,control
Euskera,USER_bc70d439c6,25,0,0.0,control
Euskera,USER_e67f5a505b,25,0,0.0,control
Euskera,USER_867c943e0f,25,0,0.0,control
Euskera,USER_cf4a11f2c9,25,0,0.0,control
Euskera,USER_69b5f4ab96,25,0,0.0,control
Euskera,USER_267c86f304,25,0,0.0,control
Euskera,USER_632a44d18b,25,0,0.0,control
Euskera,USER_f7403bcfd5,25,1,0.04,control
Euskera,USER_fbd4524373,25,0,0.0,control
Euskera,USER_5c7f68fff1,25,0,0.0,control
Euskera,USER_5228a5f5ac,25,0,0.0,control
Euskera,USER_ac4ee729d1,25,0,0.0,control
Euskera,USER_bfff7a2e10,25,0,0.0,control
Euskera,USER_391ac582e5,25,0,0.0,control
Euskera,USER_48117579da,25,0,0.0,control
Euskera,USER_94ab68efbc,25,0,0.0,control
Euskera,USER_9af5d72331,25,0,0.0,control
Euskera,USER_6f479890e1,25,0,0.0,control
Euskera,USER_26921cd645,25,0,0.0,control
Euskera,USER_58f3e2b857,25,0,0.0,control
Euskera,USER_6e7cdcc0b1,25,0,0.0,control
Euskera,USER_f325ee6c6f,25,0,0.0,control
Euskera,USER_2f4d3d6a69,25,0,0.0,control
Euskera,USER_f7b1d6fe09,25,0,0.0,control
Euskera,USER_7f15205836,25,0,0.0,control
Euskera,USER_6468112637,25,0,0.0,control
Euskera,USER_7350bf2fd9,25,0,0.0,control
Euskera,USER_bade9e89ef,25,0,0.0,control
Euskera,USER_e2736cc817,25,0,0.0,control
Euskera,USER_6cd5f52854,25,0,0.0,control
Euskera,USER_cfef3d9feb,25,0,0.0,control
Euskera,USER_ce8db995ad,25,0,0.0,control
Euskera,USER_70183d68c1,25,0,0.0,control
Euskera,USER_bfd9bfc977,25,0,0.0,control
Euskera,USER_9af1b2ec37,25,0,0.0,control
Euskera,USER_8079e820a0,25,0,0.0,control
Euskera,USER_1c89f81c4c,25,0,0.0,control
Euskera,USER_906e00625f,25,0,0.0,control
Euskera,USER_500baec7f0,25,0,0.0,control
Euskera,USER_3920ca909e,25,0,0.0,control
Euskera,USER_c7f74035f0,25,1,0.04,control
Euskera,USER_fcd482e2bd,25,0,0.0,control
Euskera,USER_bb46bf9639,25,0,0.0,control
Euskera,USER_769c8e4685,25,0,0.0,control
Euskera,USER_dfcff69851,25,0,0.0,control
Euskera,USER_8e4a28a76e,25,0,0.0,control
Euskera,USER_69329f351e,25,0,0.0,control
Euskera,USER_07d4441a17,25,0,0.0,control
Euskera,USER_68e3fb0a8e,25,0,0.0,control
Euskera,USER_19a6a0b21c,25,0,0.0,control
Euskera,USER_9f2301fd7a,25,0,0.0,control
Euskera,USER_1ce5c65c09,25,0,0.0,control
Euskera,USER_4616a3f834,25,1,0.04,control
Euskera,USER_776b043931,25,0,0.0,control
Euskera,USER_6ce42cde51,25,1,0.04,control
Euskera,USER_55259a2b19,25,0,0.0,control
Euskera,USER_b651dc56ed,25,0,0.0,control
Euskera,USER_4c512104dc,25,2,0.08,control
Euskera,USER_1b15cded12,25,0,0.0,control
Euskera,USER_7eb537b728,25,0,0.0,control
Euskera,USER_4ca7635637,9,0,0.0,control
Euskera,USER_bd7a1f026d,25,0,0.0,control
Euskera,USER_62ac55ea60,25,0,0.0,control
Euskera,USER_e539f7bd77,25,0,0.0,control
Euskera,USER_7a8f65fd9e,25,0,0.0,control
Euskera,USER_a348705d3d,25,0,0.0,control
Euskera,USER_249166f992,25,0,0.0,control
Euskera,USER_cb3947b91f,25,0,0.0,control
Euskera,USER_7b790ec67f,25,0,0.0,control
Euskera,USER_48a50a6085,25,4,0.16,seleccionado
Euskera,USER_049c98b64f,25,0,0.0,control
Euskera,USER_3a8d21eeb8,25,0,0.0,control
Euskera,USER_24bba1eb24,20,0,0.0,control
Euskera,USER_e6d29cdd2e,25,0,0.0,control
Euskera,USER_522ea18279,25,0,0.0,control
Euskera,USER_c0dd918180,25,0,0.0,control
Euskera,USER_7eb61ba3a6,25,0,0.0,control
Euskera,USER_fa4e38bebd,25,0,0.0,control
Euskera,USER_1680e9925f,18,0,0.0,control
Euskera,USER_7c5b2b99c3,25,0,0.0,control
Euskera,USER_97da7ea1ae,1,0,0.0,control
Euskera,USER_80f533ae92,25,0,0.0,control
