microtema,frecuencia,porcentaje
Contenido no interpretable,8,18.6
Afecto hacia una persona,3,6.98
Relación de pareja,2,4.65
Política y eventos,1,2.33
Emoción positiva,1,2.33
Deseo sobre el clima,1,2.33
Dieta y alimentación,1,2.33
Cine y series,1,2.33
Deseo de descanso,1,2.33
Reflexión personal,1,2.33
Crítica a la moral ajena,1,2.33
Crítica a la ejecución,1,2.33
Conflicto interpersonal,1,2.33
Acusación personal,1,2.33
Predicción de consecuencias,1,2.33
Hábitos de sueño,1,2.33
Frustración interpersonal,1,2.33
Negocio propio,1,2.33
Reflexión sobre comunicación,1,2.33
Nostalgia familiar,1,2.33
Comentario despectivo,1,2.33
Queja sobre el tiempo,1,2.33
Manga/anime,1,2.33
Hábito personal,1,2.33
Aprecio por un lugar,1,2.33
Intereses personales,1,2.33
Expresión de admiración,1,2.33
Observación del entorno,1,2.33
Apoyo emocional,1,2.33
Recuerdos compartidos,1,2.33
Expresión de cariño,1,2.33
Queja sobre estudios,1,2.33
Ocio y aficiones,1,2.33
