territorio,usuario,tweet,microtema,macrotema_codigo,macrotema
Euskera,USER_48a50a6085,De toda la vida #Eurovision es política y os dais cuenta este año? De verdad?😂😂😂😂😂,Política y eventos,POL,"Política, instituciones y actualidad pública"
Euskera,USER_48a50a6085,A día de hoy creo que nadie,Contenido no interpretable,NOINT,Contenido no interpretable
Euskera,USER_48a50a6085,Tenía que compartir mi emoción 😍,Emoción positiva,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Euskera,USER_48a50a6085,"Y LO MEJOR DE LA VIDA, EL VIERNES VOY AL ESTRENO DE ANIMALES FANTÁSTICOS 😍😍😍😍😍😍 ay que emoción",Cine y series,OCIO,"Cultura, ocio y entretenimiento"
Euskera,USER_48a50a6085,Quiero dormir todo el día,Deseo de descanso,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Euskera,USER_48a50a6085,🥲,Contenido no interpretable,NOINT,Contenido no interpretable
Euskera,USER_48a50a6085,Mi vida ahora,Contenido no interpretable,NOINT,Contenido no interpretable
Euskera,USER_48a50a6085,NECESITO QUE SALGA EL SOL,Deseo sobre el clima,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Euskera,USER_48a50a6085,Primer día de dieta. Voy que exploto de toda la comida 🙃🙃🙃,Dieta y alimentación,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Euskera,USER_48a50a6085,En este momento:,Contenido no interpretable,NOINT,Contenido no interpretable
Euskera,USER_48a50a6085,"No estoy hecha para madrugar la verdad. Para mí la hora perfecta son las 9, no las 7😿💔",Hábitos de sueño,SALUD_COT,"Salud, cuerpo y bienestar cotidiano"
Euskera,USER_48a50a6085,😶,Contenido no interpretable,NOINT,Contenido no interpretable
Euskera,USER_48a50a6085,Destruirlo,Contenido no interpretable,NOINT,Contenido no interpretable
Euskera,USER_48a50a6085,Que difícil es que alguien piense así 🤦🏼‍♀️,Frustración interpersonal,REL,"Relaciones personales, afectivas y vida social"
Euskera,USER_48a50a6085,Y por fin lo entendí,Reflexión personal,VIDA,"Rutinas, experiencias cotidianas y estados personales"
Euskera,USER_48a50a6085,"Habéis conocido a esa persona, que después de tanto tiempo pienses y afirmes, ¿como alguien puede ser tan tan malo? ¿De ser tan tan mala persona? Porque yo si",Crítica a la moral ajena,REL,"Relaciones personales, afectivas y vida social"
Euskera,USER_48a50a6085,"Que poco valor tienes para hacer las cosas bien hechas, de verdad",Crítica a la ejecución,OTROS,Otros temas o contenido ambiguo
Euskera,USER_48a50a6085,En todos los sitios bloqueada y me llamas? Pero que clase de hipocresía es esa? 🤷🏼‍♀️,Conflicto interpersonal,REL,"Relaciones personales, afectivas y vida social"
Euskera,USER_48a50a6085,"Te crees cualquier tontería que te digan porque deseas tanto, de verdad, deseas tanto no ser el único que la ha jodido que actúas como un ciego sin sentimientos.",Acusación personal,REL,"Relaciones personales, afectivas y vida social"
