usuario,total_tweets,tweets_salud_mental,tweets_no_salud_mental,proporcion_salud_mental
USER_875a3f319b,25,0,25,0.0
USER_2d3df46f4f,25,0,25,0.0
USER_56b0ce75f4,25,1,24,0.04
USER_899afa10be,25,0,25,0.0
USER_d75eca86a1,25,2,23,0.08
USER_c8baab6935,25,0,25,0.0
USER_0b7ec6e686,25,0,25,0.0
USER_7232f79a4d,25,0,25,0.0
USER_1a34e38b26,25,1,24,0.04
USER_be3c7640eb,25,0,25,0.0
USER_754a16b837,25,0,25,0.0
USER_a704a10889,25,0,25,0.0
USER_82fd7bdcae,25,1,24,0.04
USER_d0915b086c,25,0,25,0.0
USER_cc49a93e62,25,0,25,0.0
USER_b15e6d0baf,25,0,25,0.0
USER_9874fee5bc,25,0,25,0.0
USER_8c9c77a93c,14,0,14,0.0
USER_e18d87522c,25,0,25,0.0
USER_7ab0f4b094,25,0,25,0.0
USER_22b4183582,25,1,24,0.04
USER_3c79286e90,25,0,25,0.0
USER_46493c4d41,25,0,25,0.0
USER_0f49e60866,25,0,25,0.0
USER_76e303d551,25,0,25,0.0
USER_a3e392d57c,3,0,3,0.0
USER_2967304946,25,0,25,0.0
USER_e60b4176ea,25,0,25,0.0
USER_64f5fc8b63,25,0,25,0.0
USER_092586f5e3,25,0,25,0.0
USER_7cc9f30d6a,25,0,25,0.0
USER_15dd03e796,25,0,25,0.0
USER_9cfc1dcf54,25,0,25,0.0
USER_4c3818f215,25,0,25,0.0
USER_4707f08658,25,0,25,0.0
USER_4488bee781,25,0,25,0.0
USER_4d1dbef5df,25,0,25,0.0
USER_51e1d0c3b2,25,0,25,0.0
USER_84c572b958,25,0,25,0.0
USER_7f13f9fe8f,25,0,25,0.0
USER_b9fc76f52a,25,0,25,0.0
USER_c388dbd5f4,25,1,24,0.04
USER_8894860465,25,0,25,0.0
USER_4fb0aae4e5,25,0,25,0.0
USER_3e2c300275,25,0,25,0.0
USER_6fde1f8a68,25,0,25,0.0
USER_0397a0a72d,25,0,25,0.0
USER_18374a9605,25,0,25,0.0
USER_843e37a649,25,0,25,0.0
USER_872df003ff,25,0,25,0.0
USER_cff2ed3f20,25,0,25,0.0
USER_683723ad46,25,1,24,0.04
USER_a941a466b1,25,0,25,0.0
USER_508bf725fb,25,0,25,0.0
USER_54a0d797a5,25,0,25,0.0
USER_2234d3c234,25,1,24,0.04
USER_538d19abb2,25,0,25,0.0
USER_0421b0bd41,25,0,25,0.0
USER_1b94f503f6,25,0,25,0.0
USER_5d7f1fcff3,25,0,25,0.0
USER_c57f5728ad,25,0,25,0.0
USER_f35df57280,25,1,24,0.04
USER_9012a35b39,25,0,25,0.0
USER_0c5f7b3829,25,0,25,0.0
USER_d181173dc3,25,0,25,0.0
USER_a62c279648,25,0,25,0.0
USER_23e529897a,25,0,25,0.0
USER_2f6d999808,25,0,25,0.0
USER_1161e3be44,25,0,25,0.0
USER_d6db15d3e6,25,0,25,0.0
USER_899bf9bf2c,25,0,25,0.0
USER_fe6e3ba03d,25,0,25,0.0
USER_386f88fcbc,25,0,25,0.0
USER_232d22bdd5,25,0,25,0.0
USER_67a02d62e8,25,0,25,0.0
USER_e87efb307e,25,0,25,0.0
USER_775b082d51,25,0,25,0.0
USER_5a455017a0,25,0,25,0.0
USER_e25fbc4919,25,0,25,0.0
USER_c6502cf16b,25,0,25,0.0
USER_2b5868d55f,25,0,25,0.0
USER_15c31dc608,25,0,25,0.0
USER_e45ee706ab,25,0,25,0.0
USER_13ac78abbc,25,2,23,0.08
USER_19dd856e02,25,0,25,0.0
USER_738d7d456b,25,1,24,0.04
USER_ea258cbf99,25,0,25,0.0
USER_f4573c244c,25,0,25,0.0
USER_b77948bf80,25,1,24,0.04
USER_0b6cd24d63,25,1,24,0.04
USER_f18242036d,25,0,25,0.0
USER_737e6c1e5a,25,0,25,0.0
USER_ead51df957,25,0,25,0.0
USER_aab6292875,25,0,25,0.0
USER_0f2633fc32,25,1,24,0.04
USER_096ed54fb0,25,0,25,0.0
USER_11e585957d,25,0,25,0.0
USER_2faf9a1e1d,25,0,25,0.0
USER_78b4a6d0b8,25,0,25,0.0
USER_95b1f01503,25,0,25,0.0
USER_d7b5cd287c,25,0,25,0.0
USER_483cc0c3b9,25,0,25,0.0
USER_f637537698,25,0,25,0.0
USER_91de8e5fde,25,0,25,0.0
USER_d72c4fadc7,25,0,25,0.0
USER_de92172eca,25,0,25,0.0
USER_6cecbc39ab,25,0,25,0.0
USER_14978aba20,25,0,25,0.0
USER_1c91e38ea5,25,0,25,0.0
USER_9792292abe,25,0,25,0.0
USER_5fa099aa29,25,0,25,0.0
USER_aef14651fb,25,1,24,0.04
USER_ae08bed250,25,0,25,0.0
USER_817d1867e5,25,0,25,0.0
USER_089ce95815,25,0,25,0.0
USER_cc5a750611,25,0,25,0.0
USER_7c06e5fac9,25,0,25,0.0
USER_d044877a37,25,1,24,0.04
USER_d29654466a,25,0,25,0.0
USER_bf8fe57d54,25,0,25,0.0
USER_8e4a28a76e,25,0,25,0.0
USER_8e8e1cc8f2,25,0,25,0.0
USER_b4046d1dea,25,0,25,0.0
USER_d8809ba569,25,3,22,0.12
USER_05bc7028ea,25,0,25,0.0
USER_1675b804cf,25,0,25,0.0
USER_d2590d0973,25,0,25,0.0
USER_ff32556378,25,0,25,0.0
USER_980df5d868,25,0,25,0.0
USER_089c8b96b2,25,0,25,0.0
USER_4ee826e0cb,25,0,25,0.0
USER_e6c0c3c501,25,0,25,0.0
USER_c139e0d68c,25,1,24,0.04
USER_fd378ca2ca,25,0,25,0.0
USER_ef6aa2a8ec,25,0,25,0.0
USER_6de50531fb,25,0,25,0.0
USER_084dae96b5,25,0,25,0.0
USER_4aa1428da4,25,0,25,0.0
USER_cf4a11f2c9,25,0,25,0.0
USER_23a658de2c,25,0,25,0.0
USER_9ead21a595,25,0,25,0.0
USER_851629266e,25,1,24,0.04
USER_f39b366fed,25,0,25,0.0
USER_69b5f4ab96,25,0,25,0.0
USER_267c86f304,25,0,25,0.0
USER_632a44d18b,25,0,25,0.0
USER_f7403bcfd5,25,0,25,0.0
USER_fbd4524373,25,0,25,0.0
USER_5c7f68fff1,25,0,25,0.0
USER_ceb68b174b,25,0,25,0.0
USER_1a2363c5d2,25,0,25,0.0
USER_5228a5f5ac,25,0,25,0.0
USER_ac4ee729d1,25,0,25,0.0
USER_bfff7a2e10,25,0,25,0.0
USER_890bbcf931,25,0,25,0.0
USER_4f616324ba,25,0,25,0.0
USER_391ac582e5,25,0,25,0.0
USER_077e0d4e93,25,0,25,0.0
USER_357ea0eb25,25,1,24,0.04
