territorio,usuario,total_tweets,tweets_salud_mental,proporcion_salud_mental,clasificacion_usuario
Gallego,USER_875a3f319b,25,0,0.0,control
Gallego,USER_2d3df46f4f,25,0,0.0,control
Gallego,USER_56b0ce75f4,25,1,0.04,control
Gallego,USER_899afa10be,25,0,0.0,control
Gallego,USER_d75eca86a1,25,2,0.08,control
Gallego,USER_c8baab6935,25,0,0.0,control
Gallego,USER_0b7ec6e686,25,0,0.0,control
Gallego,USER_7232f79a4d,25,0,0.0,control
Gallego,USER_1a34e38b26,25,1,0.04,control
Gallego,USER_be3c7640eb,25,0,0.0,control
Gallego,USER_754a16b837,25,0,0.0,control
Gallego,USER_a704a10889,25,0,0.0,control
Gallego,USER_82fd7bdcae,25,1,0.04,control
Gallego,USER_d0915b086c,25,0,0.0,control
Gallego,USER_cc49a93e62,25,0,0.0,control
Gallego,USER_b15e6d0baf,25,0,0.0,control
Gallego,USER_9874fee5bc,25,0,0.0,control
Gallego,USER_8c9c77a93c,14,0,0.0,control
Gallego,USER_e18d87522c,25,0,0.0,control
Gallego,USER_7ab0f4b094,25,0,0.0,control
Gallego,USER_22b4183582,25,1,0.04,control
Gallego,USER_3c79286e90,25,0,0.0,control
Gallego,USER_46493c4d41,25,0,0.0,control
Gallego,USER_0f49e60866,25,0,0.0,control
Gallego,USER_76e303d551,25,0,0.0,control
Gallego,USER_a3e392d57c,3,0,0.0,control
Gallego,USER_2967304946,25,0,0.0,control
Gallego,USER_e60b4176ea,25,0,0.0,control
Gallego,USER_64f5fc8b63,25,0,0.0,control
Gallego,USER_092586f5e3,25,0,0.0,control
Gallego,USER_7cc9f30d6a,25,0,0.0,control
Gallego,USER_15dd03e796,25,0,0.0,control
Gallego,USER_9cfc1dcf54,25,0,0.0,control
Gallego,USER_4c3818f215,25,0,0.0,control
Gallego,USER_4707f08658,25,0,0.0,control
Gallego,USER_4488bee781,25,0,0.0,control
Gallego,USER_4d1dbef5df,25,0,0.0,control
Gallego,USER_51e1d0c3b2,25,0,0.0,control
Gallego,USER_84c572b958,25,0,0.0,control
Gallego,USER_7f13f9fe8f,25,0,0.0,control
Gallego,USER_b9fc76f52a,25,0,0.0,control
Gallego,USER_c388dbd5f4,25,1,0.04,control
Gallego,USER_8894860465,25,0,0.0,control
Gallego,USER_4fb0aae4e5,25,0,0.0,control
Gallego,USER_3e2c300275,25,0,0.0,control
Gallego,USER_6fde1f8a68,25,0,0.0,control
Gallego,USER_0397a0a72d,25,0,0.0,control
Gallego,USER_18374a9605,25,0,0.0,control
Gallego,USER_843e37a649,25,0,0.0,control
Gallego,USER_872df003ff,25,0,0.0,control
Gallego,USER_cff2ed3f20,25,0,0.0,control
Gallego,USER_683723ad46,25,1,0.04,control
Gallego,USER_a941a466b1,25,0,0.0,control
Gallego,USER_508bf725fb,25,0,0.0,control
Gallego,USER_54a0d797a5,25,0,0.0,control
Gallego,USER_2234d3c234,25,1,0.04,control
Gallego,USER_538d19abb2,25,0,0.0,control
Gallego,USER_0421b0bd41,25,0,0.0,control
Gallego,USER_1b94f503f6,25,0,0.0,control
Gallego,USER_5d7f1fcff3,25,0,0.0,control
Gallego,USER_c57f5728ad,25,0,0.0,control
Gallego,USER_f35df57280,25,1,0.04,control
Gallego,USER_9012a35b39,25,0,0.0,control
Gallego,USER_0c5f7b3829,25,0,0.0,control
Gallego,USER_d181173dc3,25,0,0.0,control
Gallego,USER_a62c279648,25,0,0.0,control
Gallego,USER_23e529897a,25,0,0.0,control
Gallego,USER_2f6d999808,25,0,0.0,control
Gallego,USER_1161e3be44,25,0,0.0,control
Gallego,USER_d6db15d3e6,25,0,0.0,control
Gallego,USER_899bf9bf2c,25,0,0.0,control
Gallego,USER_fe6e3ba03d,25,0,0.0,control
Gallego,USER_386f88fcbc,25,0,0.0,control
Gallego,USER_232d22bdd5,25,0,0.0,control
Gallego,USER_67a02d62e8,25,0,0.0,control
Gallego,USER_e87efb307e,25,0,0.0,control
Gallego,USER_775b082d51,25,0,0.0,control
Gallego,USER_5a455017a0,25,0,0.0,control
Gallego,USER_e25fbc4919,25,0,0.0,control
Gallego,USER_c6502cf16b,25,0,0.0,control
Gallego,USER_2b5868d55f,25,0,0.0,control
Gallego,USER_15c31dc608,25,0,0.0,control
Gallego,USER_e45ee706ab,25,0,0.0,control
Gallego,USER_13ac78abbc,25,2,0.08,control
Gallego,USER_19dd856e02,25,0,0.0,control
Gallego,USER_738d7d456b,25,1,0.04,control
Gallego,USER_ea258cbf99,25,0,0.0,control
Gallego,USER_f4573c244c,25,0,0.0,control
Gallego,USER_b77948bf80,25,1,0.04,control
Gallego,USER_0b6cd24d63,25,1,0.04,control
Gallego,USER_f18242036d,25,0,0.0,control
Gallego,USER_737e6c1e5a,25,0,0.0,control
Gallego,USER_ead51df957,25,0,0.0,control
Gallego,USER_aab6292875,25,0,0.0,control
Gallego,USER_0f2633fc32,25,1,0.04,control
Gallego,USER_096ed54fb0,25,0,0.0,control
Gallego,USER_11e585957d,25,0,0.0,control
Gallego,USER_2faf9a1e1d,25,0,0.0,control
Gallego,USER_78b4a6d0b8,25,0,0.0,control
Gallego,USER_95b1f01503,25,0,0.0,control
Gallego,USER_d7b5cd287c,25,0,0.0,control
Gallego,USER_483cc0c3b9,25,0,0.0,control
Gallego,USER_f637537698,25,0,0.0,control
Gallego,USER_91de8e5fde,25,0,0.0,control
Gallego,USER_d72c4fadc7,25,0,0.0,control
Gallego,USER_de92172eca,25,0,0.0,control
Gallego,USER_6cecbc39ab,25,0,0.0,control
Gallego,USER_14978aba20,25,0,0.0,control
Gallego,USER_1c91e38ea5,25,0,0.0,control
Gallego,USER_9792292abe,25,0,0.0,control
Gallego,USER_5fa099aa29,25,0,0.0,control
Gallego,USER_aef14651fb,25,1,0.04,control
Gallego,USER_ae08bed250,25,0,0.0,control
Gallego,USER_817d1867e5,25,0,0.0,control
Gallego,USER_089ce95815,25,0,0.0,control
Gallego,USER_cc5a750611,25,0,0.0,control
Gallego,USER_7c06e5fac9,25,0,0.0,control
Gallego,USER_d044877a37,25,1,0.04,control
Gallego,USER_d29654466a,25,0,0.0,control
Gallego,USER_bf8fe57d54,25,0,0.0,control
Gallego,USER_8e4a28a76e,25,0,0.0,control
Gallego,USER_8e8e1cc8f2,25,0,0.0,control
Gallego,USER_b4046d1dea,25,0,0.0,control
Gallego,USER_d8809ba569,25,3,0.12,seleccionado
Gallego,USER_05bc7028ea,25,0,0.0,control
Gallego,USER_1675b804cf,25,0,0.0,control
Gallego,USER_d2590d0973,25,0,0.0,control
Gallego,USER_ff32556378,25,0,0.0,control
Gallego,USER_980df5d868,25,0,0.0,control
Gallego,USER_089c8b96b2,25,0,0.0,control
Gallego,USER_4ee826e0cb,25,0,0.0,control
Gallego,USER_e6c0c3c501,25,0,0.0,control
Gallego,USER_c139e0d68c,25,1,0.04,control
Gallego,USER_fd378ca2ca,25,0,0.0,control
Gallego,USER_ef6aa2a8ec,25,0,0.0,control
Gallego,USER_6de50531fb,25,0,0.0,control
Gallego,USER_084dae96b5,25,0,0.0,control
Gallego,USER_4aa1428da4,25,0,0.0,control
Gallego,USER_cf4a11f2c9,25,0,0.0,control
Gallego,USER_23a658de2c,25,0,0.0,control
Gallego,USER_9ead21a595,25,0,0.0,control
Gallego,USER_851629266e,25,1,0.04,control
Gallego,USER_f39b366fed,25,0,0.0,control
Gallego,USER_69b5f4ab96,25,0,0.0,control
Gallego,USER_267c86f304,25,0,0.0,control
Gallego,USER_632a44d18b,25,0,0.0,control
Gallego,USER_f7403bcfd5,25,0,0.0,control
Gallego,USER_fbd4524373,25,0,0.0,control
Gallego,USER_5c7f68fff1,25,0,0.0,control
Gallego,USER_ceb68b174b,25,0,0.0,control
Gallego,USER_1a2363c5d2,25,0,0.0,control
Gallego,USER_5228a5f5ac,25,0,0.0,control
Gallego,USER_ac4ee729d1,25,0,0.0,control
Gallego,USER_bfff7a2e10,25,0,0.0,control
Gallego,USER_890bbcf931,25,0,0.0,control
Gallego,USER_4f616324ba,25,0,0.0,control
Gallego,USER_391ac582e5,25,0,0.0,control
Gallego,USER_077e0d4e93,25,0,0.0,control
Gallego,USER_357ea0eb25,25,1,0.04,control
Gallego,USER_ffdd6ca0ea,25,0,0.0,control
Gallego,USER_820640aa81,25,0,0.0,control
Gallego,USER_665aadbfe6,25,1,0.04,control
Gallego,USER_245cd86815,25,1,0.04,control
Gallego,USER_d3fa0d8a29,25,0,0.0,control
Gallego,USER_22eea3b2ab,25,0,0.0,control
Gallego,USER_e18a6b8ddf,25,0,0.0,control
Gallego,USER_89c028dd9e,25,0,0.0,control
Gallego,USER_26b850d605,25,0,0.0,control
Gallego,USER_c55bf295e9,25,0,0.0,control
Gallego,USER_6a51fd01f7,25,0,0.0,control
Gallego,USER_a4272cfe92,25,0,0.0,control
Gallego,USER_0d4df11cbc,25,1,0.04,control
Gallego,USER_fcd482e2bd,25,0,0.0,control
Gallego,USER_2f4d3d6a69,25,0,0.0,control
Gallego,USER_f7b1d6fe09,25,0,0.0,control
Gallego,USER_7f15205836,25,0,0.0,control
Gallego,USER_bb46bf9639,25,0,0.0,control
Gallego,USER_6468112637,25,0,0.0,control
Gallego,USER_7350bf2fd9,25,0,0.0,control
Gallego,USER_769c8e4685,25,0,0.0,control
Gallego,USER_bade9e89ef,25,0,0.0,control
Gallego,USER_e2736cc817,25,0,0.0,control
Gallego,USER_6cd5f52854,25,0,0.0,control
Gallego,USER_cfef3d9feb,25,0,0.0,control
Gallego,USER_ce8db995ad,25,0,0.0,control
Gallego,USER_70183d68c1,25,0,0.0,control
Gallego,USER_bfd9bfc977,25,0,0.0,control
Gallego,USER_9af1b2ec37,25,0,0.0,control
Gallego,USER_8079e820a0,25,0,0.0,control
Gallego,USER_dfcff69851,25,0,0.0,control
Gallego,USER_e16bf0abb4,25,0,0.0,control
Gallego,USER_566f7bfcf3,25,0,0.0,control
Gallego,USER_4bf1cd9c32,25,0,0.0,control
Gallego,USER_2c96ae16bd,25,0,0.0,control
Gallego,USER_888336d7cd,25,0,0.0,control
Gallego,USER_86c719b43e,25,0,0.0,control
Gallego,USER_adf114ea62,25,0,0.0,control
Gallego,USER_d3f8cbf4d1,25,0,0.0,control
Gallego,USER_1dc60d1719,25,0,0.0,control
Gallego,USER_9a8607c1d0,25,0,0.0,control
Gallego,USER_39582f74f2,25,0,0.0,control
Gallego,USER_edfbf59b23,25,0,0.0,control
Gallego,USER_78d2db9d4b,25,0,0.0,control
Gallego,USER_aa0764a3bc,25,1,0.04,control
Gallego,USER_1b1e7f1e2a,25,0,0.0,control
Gallego,USER_5aefdebd3a,25,0,0.0,control
Gallego,USER_c6962a3d21,25,2,0.08,control
Gallego,USER_5a27f2bd2a,25,0,0.0,control
Gallego,USER_4bf6f8726d,25,0,0.0,control
Gallego,USER_23cc2ad483,25,0,0.0,control
Gallego,USER_e1bf6885f4,25,0,0.0,control
Gallego,USER_59972b38cc,25,0,0.0,control
Gallego,USER_c29708a6ec,25,0,0.0,control
Gallego,USER_c0dd918180,25,0,0.0,control
Gallego,USER_7eb61ba3a6,25,0,0.0,control
Gallego,USER_fa4e38bebd,25,0,0.0,control
Gallego,USER_1680e9925f,18,0,0.0,control
Gallego,USER_4ca7635637,9,0,0.0,control
Gallego,USER_7c5b2b99c3,25,0,0.0,control
Gallego,USER_bd7a1f026d,25,0,0.0,control
Gallego,USER_62ac55ea60,25,0,0.0,control
Gallego,USER_e539f7bd77,25,0,0.0,control
Gallego,USER_7a8f65fd9e,25,0,0.0,control
Gallego,USER_55259a2b19,25,0,0.0,control
Gallego,USER_97da7ea1ae,1,0,0.0,control
Gallego,USER_80f533ae92,25,0,0.0,control
Gallego,USER_a348705d3d,25,0,0.0,control
Gallego,USER_249166f992,25,0,0.0,control
Gallego,USER_a475eeb585,25,0,0.0,control
Gallego,USER_7fbeac988f,25,0,0.0,control
Gallego,USER_9d9b485901,25,0,0.0,control
Gallego,USER_b7c80e96a1,25,0,0.0,control
Gallego,USER_65fc93a3fc,25,0,0.0,control
Gallego,USER_f568f2681f,25,1,0.04,control
Gallego,USER_7883480af5,25,1,0.04,control
Gallego,USER_97951906b4,25,0,0.0,control
Gallego,USER_8619e1a6ac,25,0,0.0,control
Gallego,USER_d420324ae4,25,0,0.0,control
Gallego,USER_536f1fef36,25,0,0.0,control
Gallego,USER_04fc1fe404,25,0,0.0,control
Gallego,USER_275c1fde9f,25,0,0.0,control
Gallego,USER_fabf48a92b,25,0,0.0,control
Gallego,USER_b9b5e0871a,25,1,0.04,control
Gallego,USER_68aa257cf5,25,0,0.0,control
Gallego,USER_8c0b542b59,25,0,0.0,control
Gallego,USER_3c8a484b71,25,0,0.0,control
Gallego,USER_5ae65804b5,25,0,0.0,control
Gallego,USER_560b4e93fa,25,0,0.0,control
Gallego,USER_c3938a54e4,25,0,0.0,control
Gallego,USER_dca5220eda,21,0,0.0,control
Gallego,USER_6b28cf06f0,25,0,0.0,control
Gallego,USER_8cd2a29e5d,25,0,0.0,control
Gallego,USER_04c13d83e6,25,1,0.04,control
Gallego,USER_920102c8fd,25,0,0.0,control
Gallego,USER_36802f8774,25,0,0.0,control
Gallego,USER_8573ab447c,25,0,0.0,control
Gallego,USER_206efcd46c,25,2,0.08,control
Gallego,USER_624f5bc230,25,0,0.0,control
Gallego,USER_702378742f,25,0,0.0,control
Gallego,USER_e119072318,25,0,0.0,control
Gallego,USER_d6291be0aa,25,0,0.0,control
Gallego,USER_9f3700eab7,25,0,0.0,control
Gallego,USER_8747974ec3,25,0,0.0,control
Gallego,USER_d58504acfd,25,0,0.0,control
Gallego,USER_feaac96197,25,0,0.0,control
Gallego,USER_16e3a30776,25,0,0.0,control
Gallego,USER_1744725d11,25,0,0.0,control
Gallego,USER_cdc576f18c,23,1,0.043,control
Gallego,USER_d8f402cfc4,25,0,0.0,control
Gallego,USER_d439135792,25,2,0.08,control
Gallego,USER_19393a861e,25,0,0.0,control
Gallego,USER_10b448d2fc,25,0,0.0,control
Gallego,USER_e2e441a94f,25,0,0.0,control
Gallego,USER_587a92d554,25,0,0.0,control
Gallego,USER_4aec5eb9cd,25,0,0.0,control
Gallego,USER_85633914c5,25,2,0.08,control
Gallego,USER_c5104c3f98,25,0,0.0,control
