microtema,frecuencia,porcentaje
Contenido no interpretable,44,52.38
Búsqueda de piso/compañero,2,2.38
Reflexión personal,2,2.38
Amor y relaciones,1,1.19
Autoconocimiento,1,1.19
Eventos profesionales,1,1.19
Viajes,1,1.19
Procrastinación,1,1.19
Cambio emocional,1,1.19
Nuevos comienzos,1,1.19
Reacción de sorpresa,1,1.19
Aspiraciones personales,1,1.19
Planes con amigos,1,1.19
Carrera profesional,1,1.19
Estancia hospitalaria,1,1.19
Beneficios laborales,1,1.19
Fandom,1,1.19
Humor sobre la edad,1,1.19
Apreciación artística,1,1.19
Crisis vital,1,1.19
Preferencias personales,1,1.19
Observación del entorno,1,1.19
Estilo de vida/libertad personal,1,1.19
Queja/denuncia de acoso,1,1.19
Sentimientos positivos,1,1.19
Actitud personal,1,1.19
Reflexión/proverbio,1,1.19
Opinión política/crítica social,1,1.19
Activismo/opinión política,1,1.19
Insulto/expresión de ira,1,1.19
Relaciones personales,1,1.19
Opinión política/crítica,1,1.19
Conflicto personal/queja,1,1.19
Reflexión personal/interacciones sociales,1,1.19
Reflexión breve,1,1.19
Sentimientos positivos/alivio,1,1.19
Estado personal/progreso,1,1.19
Reflexión personal/futuro,1,1.19
Opinión social/identidad nacional,1,1.19
