macrotema_codigo,macrotema,n_tweets,n_usuarios_unicos,porcentaje_tweets
NOINT,Contenido no interpretable,44,3,52.38
VIDA,"Rutinas, experiencias cotidianas y estados personales",20,2,23.81
REL,"Relaciones personales, afectivas y vida social",6,2,7.14
ECO,"Economía, empleo y vivienda",5,2,5.95
POL,"Política, instituciones y actualidad pública",3,1,3.57
OCIO,"Cultura, ocio y entretenimiento",2,1,2.38
HUMOR,"Humor, memes y contenido lúdico",1,1,1.19
SALUD_COT,"Salud, cuerpo y bienestar cotidiano",1,1,1.19
SERV,"Servicios públicos, administración y derechos sociales",1,1,1.19
TERR,"Territorio, identidad local y comunidad",1,1,1.19
