usuario,total_tweets,tweets_salud_mental,tweets_no_salud_mental,proporcion_salud_mental
USER_01abafc42a,25,0,25,0.0
USER_cb88101327,25,0,25,0.0
USER_55cc0a23aa,25,0,25,0.0
USER_21c430749b,25,0,25,0.0
USER_fe8123f0c3,25,3,22,0.12
USER_42fe2a8815,25,0,25,0.0
USER_6a41295523,25,0,25,0.0
USER_87ae482ed7,25,1,24,0.04
USER_9dfd8536ad,25,0,25,0.0
USER_ef613989a1,25,0,25,0.0
USER_e174636c33,25,0,25,0.0
USER_ea8659f290,25,0,25,0.0
USER_99f7c5ef43,25,0,25,0.0
USER_6b5848c3c9,25,0,25,0.0
USER_22e0e12095,25,0,25,0.0
USER_e3ff319f5d,25,0,25,0.0
USER_0acbaab724,5,0,5,0.0
USER_55d32a551a,25,0,25,0.0
USER_f992419ef0,25,0,25,0.0
USER_70739932e0,25,2,23,0.08
USER_3e45797fa4,25,0,25,0.0
USER_1d8c2db105,25,0,25,0.0
USER_fe30bde3e4,0,0,0,0.0
USER_e988df7851,1,0,1,0.0
USER_a6154c72fd,25,1,24,0.04
USER_79b6bc8dcc,12,0,12,0.0
USER_39fc82c237,25,0,25,0.0
USER_a1cbba6945,25,0,25,0.0
USER_5dff22c27f,25,0,25,0.0
USER_ffed834051,25,0,25,0.0
USER_56c2d0815a,25,0,25,0.0
USER_ec73d4e2d9,25,0,25,0.0
USER_954c26e631,25,0,25,0.0
USER_c536d27869,25,0,25,0.0
USER_b32ba6e15b,25,0,25,0.0
USER_22ec3e15c1,25,0,25,0.0
USER_8a0b44f213,25,0,25,0.0
USER_f138947812,25,0,25,0.0
USER_267f56988b,25,0,25,0.0
USER_f0a2b15aca,25,0,25,0.0
USER_fc191f077f,25,1,24,0.04
USER_3902bb52b4,25,0,25,0.0
USER_2475f0280b,25,0,25,0.0
USER_d6966adeff,25,1,24,0.04
USER_0b43bc298c,25,0,25,0.0
USER_590dc79bd5,25,0,25,0.0
USER_4981fdd959,25,0,25,0.0
USER_ae4905c91a,25,0,25,0.0
USER_ebc3f8ff5f,25,0,25,0.0
USER_e7b108d425,25,0,25,0.0
USER_9d47aefd78,25,0,25,0.0
USER_e5c9c30db4,25,0,25,0.0
USER_2e90f151d2,25,0,25,0.0
USER_4b83fe9cc8,25,0,25,0.0
USER_04e944d68b,25,0,25,0.0
USER_5611760bbb,25,0,25,0.0
USER_4360f43eea,25,0,25,0.0
USER_d3ae0fca2b,25,3,22,0.12
