territorio,usuario,tweet
México,USER_fe8123f0c3,RT {{USER_MENTION}}: No mames la paloma ya estaba pedisima JAJAJA {{URL}}
México,USER_fe8123f0c3,Externas mis emociones nunca me ha dado algo bueno
México,USER_fe8123f0c3,{{USER_MENTION}} ¿Está fallando la app de #NuBank ? Retiré de la cajita y no se reflejados en mi cuenta
México,USER_fe8123f0c3,Un naco cualquiera {{URL}}
México,USER_fe8123f0c3,"{{USER_MENTION}} gracias a sus putos comerciales no vi el gol del {{LOCATION}}, me voy a {{USER_MENTION}}"
México,USER_fe8123f0c3,{{USER_MENTION}} ¿te volvieron bloquear amigo? :(
México,USER_fe8123f0c3,Como todo un macho alfa {{URL}}
México,USER_fe8123f0c3,Eres el resultado de tus hábitos
México,USER_fe8123f0c3,Sabadaba {{URL}}
México,USER_fe8123f0c3,{{USER_MENTION}} pedazo de mierda!  feliz cumpleaños {{PERSON}} te awo!
México,USER_fe8123f0c3,o 40 años {{URL}}
México,USER_fe8123f0c3,hoy mi glorioso #Necaxa asciende!  vuelve hacer de primera de donde jamás se tuvo que haber ido!  vamos carajo!
México,USER_fe8123f0c3,buenas noches :) {{URL}}
México,USER_fe8123f0c3,mi hijo se acaba de poner sólito de pie!  :)
México,USER_fe8123f0c3,por esa sonrisa daría todo! {{URL}}
México,USER_fe8123f0c3,la disciplina tarde o temprano le ganará a la inteligencia
México,USER_fe8123f0c3,somos hombres nos movemos con torpeza y les rompemos el corazón
México,USER_fe8123f0c3,nacos invadiendo Twitter  {{URL}}
México,USER_fe8123f0c3,éxito maigo  {{URL}}
México,USER_fe8123f0c3,{{USER_MENTION}} hay que tomarlo en cuenta.  {{URL}}
México,USER_fe8123f0c3,Perdóname por ilusionarte! Siempre te rompo el culo en #FIFA {{USER_MENTION}}
México,USER_fe8123f0c3,Ya tendrán validez en todos los estados de la federación los matrimonios de personas del mismo sexo efectuados en el {{LOCATION}}
México,USER_d3ae0fca2b,"RT {{USER_MENTION}}: {{LOCATION}}
🍥第2弾PV公開！🍥

新規カットに加え、新キャラクターも登場！
{{PERSON}}👀

{{URL}}

📺第3期は、
{{{{LOCATION}}！
日本テレビ系…"
México,USER_d3ae0fca2b,Mmsss que disco tan más chingón es el Poetics.🔥
México,USER_d3ae0fca2b,"La gente que cree que la CDMX ahorita está vacía porque los del edomex están de vacaciones están mal de su cabeza, al contrario, los del edomex andan trabajando y los de la CDMX están de vacaciones."
México,USER_d3ae0fca2b,"Definitivamente ""Love to be loved"" de the Warning fue toda una sorpresa, {{PERSON}} cantando en inglés y obvio las chicas haciendo lo de siempre, brillar."
México,USER_d3ae0fca2b,{{PERSON}} quiero una de esas😱
México,USER_d3ae0fca2b,"{{PERSON}} tarde la funa, pero al final salió la verdad a la luz. Ni modo, otro cubetazo de agua fría para recordar que la banda favorita de muchos nunca volverá."
México,USER_d3ae0fca2b,Yo.
