microtema,frecuencia,porcentaje
Contenido no interpretable,45,22.5
Humor,5,2.5
Deportes,5,2.5
Orgullo nacional,4,2.0
Reflexión,4,2.0
Reflexión personal,3,1.5
Relaciones interpersonales,2,1.0
Afecto,2,1.0
Música,2,1.0
Admiración,2,1.0
Fenómeno natural,2,1.0
Conciertos y música,2,1.0
Conciertos y entradas,2,1.0
Crítica personal,2,1.0
Saludo,2,1.0
Cine y series,2,1.0
Crítica social,2,1.0
Política y derechos civiles,1,0.5
Anime/series,1,0.5
Observación social,1,0.5
Fandom y controversia,1,0.5
Ficción (romance),1,0.5
Opinión de servicio,1,0.5
Finanzas personales (compras),1,0.5
Música (conciertos),1,0.5
Producción musical,1,0.5
Estado de ánimo positivo,1,0.5
Paternidad,1,0.5
Vida cotidiana (saludo),1,0.5
Humor (jocoso),1,0.5
Comentario sobre masculinidad,1,0.5
Deportes (queja),1,0.5
Interacción social (preocupación),1,0.5
Confrontación/desafío,1,0.5
Cansancio/tedio,1,0.5
Interacción desafiante,1,0.5
Deportes (natación),1,0.5
Experiencia laboral (transporte),1,0.5
Reclamación social,1,0.5
Crítica de relaciones,1,0.5
Nostalgia/anhelo,1,0.5
Arrepentimiento,1,0.5
Apreciación personal,1,0.5
Consulta de evento,1,0.5
Entretenimiento general,1,0.5
Desahogo personal,1,0.5
Interacción en redes sociales,1,0.5
Queja sobre evento,1,0.5
Evitar interacción negativa,1,0.5
Compra de entradas,1,0.5
Tristeza por evento,1,0.5
Clima y eventos,1,0.5
Celebridades y chismes,1,0.5
Cuidado de mascotas,1,0.5
Humor y festividades,1,0.5
Queja laboral,1,0.5
Apreciación de la naturaleza,1,0.5
Queja sobre contenido,1,0.5
Petición de contenido,1,0.5
Frustración,1,0.5
Conflicto cultural,1,0.5
Afecto personal,1,0.5
Interacción social (deseo),1,0.5
Videojuegos,1,0.5
Problemas bancarios,1,0.5
Sentimientos de pérdida,1,0.5
Ruptura amorosa,1,0.5
Auto-reflexión,1,0.5
Reflexión sobre relaciones,1,0.5
Ideal de pareja,1,0.5
Mitología,1,0.5
Activismo social,1,0.5
Cultura pop,1,0.5
Sentimiento personal,1,0.5
Afecto por un lugar,1,0.5
Amor y relaciones,1,0.5
Sentimiento de impotencia,1,0.5
Sentimiento por la pareja,1,0.5
Sentimiento por la ausencia,1,0.5
Extrañar a alguien querido,1,0.5
Humor sobre el amor,1,0.5
Malestar físico,1,0.5
Sentimiento de enojo,1,0.5
Sentimientos personales,1,0.5
Interacción sobre imagen,1,0.5
Viajes,1,0.5
Desilusión interpersonal,1,0.5
Lealtad y valores,1,0.5
Resignación,1,0.5
Ocio y fiesta,1,0.5
Decepción,1,0.5
Predicción,1,0.5
Interacción conflictiva,1,0.5
Comida,1,0.5
Estereotipos,1,0.5
Tristeza,1,0.5
Apreciación artística,1,0.5
Agresión verbal,1,0.5
Hostilidad,1,0.5
Confrontación,1,0.5
Afecto animal,1,0.5
Satisfacción personal,1,0.5
Deseo/anhelo,1,0.5
Bienestar personal,1,0.5
Estado de ánimo/clima,1,0.5
Queja social,1,0.5
Humor familiar,1,0.5
Amor romántico,1,0.5
Nostalgia,1,0.5
Aprecio en pareja,1,0.5
Frustración personal,1,0.5
Queja sobre rutina,1,0.5
Necesidad de afecto,1,0.5
Sufrimiento emocional,1,0.5
Enfoque romántico,1,0.5
Anticipación de cumpleaños,1,0.5
Reflexión sobre amistad,1,0.5
Humor negro,1,0.5
Antojo,1,0.5
Deseo sexual,1,0.5
Conflictos interpersonales,1,0.5
Desengaño amoroso,1,0.5
Afirmación personal,1,0.5
Autoafirmación,1,0.5
Humor festivo,1,0.5
Aversión,1,0.5
Disculpa,1,0.5
Ubicación,1,0.5
Disputa,1,0.5
