territorio,usuario,tweet,microtema
México,USER_fe8123f0c3,RT {{USER_MENTION}}: No mames la paloma ya estaba pedisima JAJAJA {{URL}},Humor
México,USER_fe8123f0c3,Externas mis emociones nunca me ha dado algo bueno,Reflexión personal
México,USER_fe8123f0c3,{{USER_MENTION}} ¿Está fallando la app de #NuBank ? Retiré de la cajita y no se reflejados en mi cuenta,Problemas bancarios
México,USER_fe8123f0c3,Un naco cualquiera {{URL}},Crítica social
México,USER_fe8123f0c3,"{{USER_MENTION}} gracias a sus putos comerciales no vi el gol del {{LOCATION}}, me voy a {{USER_MENTION}}",Deportes (queja)
México,USER_fe8123f0c3,{{USER_MENTION}} ¿te volvieron bloquear amigo? :(,Interacción social (preocupación)
México,USER_fe8123f0c3,Como todo un macho alfa {{URL}},Comentario sobre masculinidad
México,USER_fe8123f0c3,Eres el resultado de tus hábitos,Reflexión personal
México,USER_fe8123f0c3,Sabadaba {{URL}},Contenido no interpretable
México,USER_fe8123f0c3,{{USER_MENTION}} pedazo de mierda!  feliz cumpleaños {{PERSON}} te awo!,Humor (jocoso)
México,USER_fe8123f0c3,o 40 años {{URL}},Contenido no interpretable
México,USER_fe8123f0c3,hoy mi glorioso #Necaxa asciende!  vuelve hacer de primera de donde jamás se tuvo que haber ido!  vamos carajo!,Deportes
México,USER_fe8123f0c3,buenas noches :) {{URL}},Vida cotidiana (saludo)
México,USER_fe8123f0c3,mi hijo se acaba de poner sólito de pie!  :),Paternidad
México,USER_fe8123f0c3,por esa sonrisa daría todo! {{URL}},Afecto personal
México,USER_fe8123f0c3,la disciplina tarde o temprano le ganará a la inteligencia,Reflexión personal
México,USER_fe8123f0c3,somos hombres nos movemos con torpeza y les rompemos el corazón,Relaciones interpersonales
México,USER_fe8123f0c3,nacos invadiendo Twitter  {{URL}},Crítica social
México,USER_fe8123f0c3,éxito maigo  {{URL}},Interacción social (deseo)
México,USER_fe8123f0c3,{{USER_MENTION}} hay que tomarlo en cuenta.  {{URL}},Contenido no interpretable
México,USER_fe8123f0c3,Perdóname por ilusionarte! Siempre te rompo el culo en #FIFA {{USER_MENTION}},Videojuegos
México,USER_fe8123f0c3,Ya tendrán validez en todos los estados de la federación los matrimonios de personas del mismo sexo efectuados en el {{LOCATION}},Política y derechos civiles
México,USER_d3ae0fca2b,"RT {{USER_MENTION}}: {{LOCATION}}
🍥第2弾PV公開！🍥

新規カットに加え、新キャラクターも登場！
{{PERSON}}👀

{{URL}}

📺第3期は、
{{{{LOCATION}}！
日本テレビ系…",Anime/series
México,USER_d3ae0fca2b,Mmsss que disco tan más chingón es el Poetics.🔥,Música
