macrotema_codigo,macrotema,n_tweets,n_usuarios_unicos,porcentaje_tweets
VIDA,"Rutinas, experiencias cotidianas y estados personales",46,9,23.0
NOINT,Contenido no interpretable,45,8,22.5
REL,"Relaciones personales, afectivas y vida social",38,7,19.0
OCIO,"Cultura, ocio y entretenimiento",23,5,11.5
HUMOR,"Humor, memes y contenido lúdico",11,7,5.5
POL,"Política, instituciones y actualidad pública",8,4,4.0
DEP,Deporte y competición,7,3,3.5
TERR,"Territorio, identidad local y comunidad",5,2,2.5
OTROS,Otros temas o contenido ambiguo,4,2,2.0
MEDIOS,"Medios, redes sociales y comunicación digital",4,2,2.0
CONSUMO,"Consumo, tecnología y compras",3,2,1.5
ECO,"Economía, empleo y vivienda",3,3,1.5
SALUD_COT,"Salud, cuerpo y bienestar cotidiano",2,2,1.0
MOV,"Movilidad, transporte y espacio urbano",1,1,0.5
