usuario,total_tweets,tweets_salud_mental,tweets_no_salud_mental,proporcion_salud_mental
USER_efd4abc396,25,0,25,0.0
USER_e7efff61dd,25,0,25,0.0
USER_9cef735eeb,25,0,25,0.0
USER_2311542227,0,0,0,0.0
USER_3551f2682f,22,1,21,0.045
USER_3a747bb673,25,4,21,0.16
USER_09ef1f250c,25,0,25,0.0
USER_a968ce5a41,25,3,22,0.12
USER_897ba702a4,25,0,25,0.0
USER_be8d718e80,17,0,17,0.0
USER_8a7100ad99,14,0,14,0.0
USER_b358cc5d9d,25,0,25,0.0
USER_0cfeb91ec8,25,1,24,0.04
USER_af06c8714f,25,0,25,0.0
USER_f5c335dccc,25,0,25,0.0
USER_8871b5cfd7,25,0,25,0.0
USER_1f2ec4e8b1,25,0,25,0.0
USER_0a1b7a017c,25,0,25,0.0
USER_636a02b6ca,18,0,18,0.0
USER_cf91416a86,25,0,25,0.0
USER_a01a3589d9,25,0,25,0.0
USER_4fe21b3a0b,25,0,25,0.0
USER_c951c01680,25,0,25,0.0
USER_5a752c858a,25,0,25,0.0
USER_2df0361ec2,25,0,25,0.0
USER_9b3a7a6878,25,0,25,0.0
USER_bcd0d6d5d4,25,0,25,0.0
USER_4f9d30cf07,25,0,25,0.0
USER_0895b7d9a7,25,0,25,0.0
USER_5a52cc50dc,25,0,25,0.0
USER_45ba453b56,25,0,25,0.0
USER_b1bec72d48,25,0,25,0.0
USER_06669b1173,18,1,17,0.056
USER_e4d81903b8,25,0,25,0.0
USER_bfb93adb84,25,0,25,0.0
USER_fb3a240edc,25,0,25,0.0
USER_c1f2dc380b,25,0,25,0.0
USER_359631aaaf,5,0,5,0.0
USER_59bfdedf54,25,0,25,0.0
USER_0cd270f945,25,1,24,0.04
USER_77ef4c39a0,25,0,25,0.0
USER_f5dad70636,25,0,25,0.0
USER_f68b6d7c80,25,0,25,0.0
USER_41d17080cc,25,0,25,0.0
USER_643e99acd3,25,0,25,0.0
USER_38ee223d7e,25,0,25,0.0
USER_2a1e177a7c,25,0,25,0.0
USER_ce7ac591a0,25,0,25,0.0
USER_bdecb5d542,25,0,25,0.0
USER_14a9c1a697,25,0,25,0.0
USER_72fd5d8175,25,0,25,0.0
USER_fe3d0e3da7,25,0,25,0.0
USER_1ade9f8a8e,25,0,25,0.0
USER_e747fdb389,25,0,25,0.0
USER_6ceafaf501,25,0,25,0.0
USER_340ea79f22,25,0,25,0.0
USER_21b6f3bf42,25,0,25,0.0
USER_2ed08a17bc,25,0,25,0.0
USER_8ad67e0865,25,0,25,0.0
USER_706fc2cc0a,25,0,25,0.0
USER_d43789f965,25,1,24,0.04
USER_dda330d0f7,25,0,25,0.0
USER_0c987f31ec,25,0,25,0.0
USER_f1202dfa51,25,0,25,0.0
USER_9829f17491,25,0,25,0.0
USER_d0bb8f7e95,25,0,25,0.0
USER_d99f3da596,25,0,25,0.0
USER_1cee1d05e3,25,0,25,0.0
USER_14309c3793,25,0,25,0.0
USER_2ab53bab95,25,0,25,0.0
USER_7f425c0c45,25,0,25,0.0
USER_9a8ac3804a,25,0,25,0.0
USER_abe75e3557,25,2,23,0.08
USER_b1c728f2d4,25,0,25,0.0
USER_aee93ec97b,25,0,25,0.0
