microtema,frecuencia,porcentaje
Extrañar a alguien,6,13.95
Anticipación musical,3,6.98
Contenido no interpretable,3,6.98
Sentimientos personales,2,4.65
Sueños,1,2.33
Música para celebración,1,2.33
Deseo de huir,1,2.33
Baile,1,2.33
Relación pasada,1,2.33
Ideal romántico,1,2.33
Nostalgia musical,1,2.33
Nostalgia por concierto,1,2.33
Admiración musical,1,2.33
Admiración por celebridad,1,2.33
Reflexión meteorológica,1,2.33
Mascotas,1,2.33
Reflexión existencial,1,2.33
Reflexión sobre el tiempo,1,2.33
Apreciación del entorno,1,2.33
Apreciación fotográfica,1,2.33
Reflexión corporal,1,2.33
Simbolismo y eventos,1,2.33
Expresión de amor,1,2.33
Anécdota personal,1,2.33
Reflexión positiva,1,2.33
Reflexión personal,1,2.33
Juego de palabras,1,2.33
Reflexión sobre el tiempo y etapas de vida,1,2.33
Descripción poética,1,2.33
Observación urbana y naturaleza,1,2.33
Atardeceres y conexión personal,1,2.33
Observación de la vida pública,1,2.33
Poesía de amor,1,2.33
