usuario,total_tweets,tweets_salud_mental,tweets_no_salud_mental,proporcion_salud_mental
USER_4037d67b4f,25,0,25,0.0
USER_011faf71db,25,0,25,0.0
USER_d007804a1a,25,0,25,0.0
USER_f91d4aee3a,25,0,25,0.0
USER_68b1b15d8e,25,0,25,0.0
USER_949e153324,25,0,25,0.0
USER_a15a3b71e0,3,0,3,0.0
USER_f336807852,18,0,18,0.0
USER_aadeb38b46,25,0,25,0.0
USER_49d470acd3,25,0,25,0.0
USER_86edf538e4,25,0,25,0.0
USER_597f4daf35,25,0,25,0.0
USER_400cf467de,25,1,24,0.04
USER_4a2b8a07bd,25,0,25,0.0
USER_10733c2e93,16,0,16,0.0
USER_b078e85758,25,0,25,0.0
USER_fa03d878f3,25,0,25,0.0
USER_407e9427fa,25,0,25,0.0
USER_fc2d8c77ab,25,1,24,0.04
USER_a81c8d9022,25,0,25,0.0
USER_14bd354d04,25,1,24,0.04
USER_82c0c70bc2,25,0,25,0.0
USER_9d6ac6be41,25,0,25,0.0
USER_1633eff932,25,0,25,0.0
USER_46e9d97c4f,25,0,25,0.0
USER_215ebccf15,25,0,25,0.0
USER_a077fa8def,11,0,11,0.0
USER_c1907329b7,25,0,25,0.0
USER_800e54664f,25,0,25,0.0
USER_4a85d10df2,25,1,24,0.04
USER_bade4cdd13,25,1,24,0.04
USER_40994b5dc7,25,0,25,0.0
USER_77919864bd,25,0,25,0.0
USER_d6f1003588,25,0,25,0.0
USER_b9497ec890,25,0,25,0.0
USER_09b454b619,25,0,25,0.0
USER_5b512f378d,25,1,24,0.04
USER_97253b6611,25,0,25,0.0
USER_090900e253,25,0,25,0.0
USER_2771fe67bf,25,0,25,0.0
USER_445c52a765,25,0,25,0.0
USER_56fd1a7eec,25,0,25,0.0
USER_5d4a7b9f3e,25,0,25,0.0
USER_f9c065370b,25,0,25,0.0
USER_01ed9c8c8f,25,0,25,0.0
USER_966162c540,25,0,25,0.0
USER_9ddecedbf4,25,0,25,0.0
USER_ed40d2d13d,25,0,25,0.0
USER_66cab7be86,25,0,25,0.0
USER_43f5b0df87,25,0,25,0.0
USER_27407d1492,25,0,25,0.0
USER_153a41e882,25,0,25,0.0
USER_e87fd56307,25,0,25,0.0
USER_e493ac21c8,25,0,25,0.0
USER_705d9c0ba7,25,0,25,0.0
USER_5dbdad3061,25,0,25,0.0
USER_c74796f3f9,25,0,25,0.0
USER_2f862c4100,25,1,24,0.04
USER_0bc1833520,25,0,25,0.0
USER_6433561f14,25,0,25,0.0
USER_ed621fbc89,25,0,25,0.0
USER_24d2753f8d,25,0,25,0.0
USER_c50540ff7c,25,0,25,0.0
USER_a9dece42ce,25,0,25,0.0
USER_64d77770ad,25,0,25,0.0
USER_09f8339696,25,0,25,0.0
USER_a97dc99d70,7,0,7,0.0
USER_dba67f55bd,25,0,25,0.0
USER_717303f2c9,25,0,25,0.0
USER_c27e82675a,25,0,25,0.0
USER_708d45ad8e,25,0,25,0.0
USER_be63bd18ef,25,0,25,0.0
USER_f9169c4c53,25,0,25,0.0
USER_b73a8290ef,25,0,25,0.0
USER_247a397402,25,0,25,0.0
USER_fb01031918,25,0,25,0.0
USER_9aa18781f7,25,0,25,0.0
USER_1af56ec74c,25,0,25,0.0
USER_cce5184bed,25,0,25,0.0
USER_e61dc09f55,25,0,25,0.0
USER_1e06ec80b3,25,1,24,0.04
USER_37866a1245,25,1,24,0.04
USER_fd2a0f115d,19,0,19,0.0
USER_70f302af09,25,0,25,0.0
USER_bb69ba9dc2,25,0,25,0.0
USER_78537328ae,25,0,25,0.0
USER_683b90f514,25,0,25,0.0
USER_ef8d5f35e2,25,0,25,0.0
USER_7787bbba54,25,0,25,0.0
USER_e63b53a37e,25,2,23,0.08
USER_5ef5682e13,25,3,22,0.12
USER_bff103fb05,25,0,25,0.0
USER_cc2ddbf730,25,0,25,0.0
USER_fd3abad240,25,0,25,0.0
USER_cc80c47610,25,0,25,0.0
USER_696f3ca752,6,0,6,0.0
USER_4157caca58,25,0,25,0.0
USER_5f98f80ed7,25,0,25,0.0
USER_eb6a236492,25,0,25,0.0
USER_5f01234758,25,0,25,0.0
USER_8fc2ce2f1b,25,3,22,0.12
USER_bb65546b10,25,0,25,0.0
USER_ea191e8a4d,25,0,25,0.0
USER_daf9024292,25,0,25,0.0
USER_b120151d7f,25,0,25,0.0
USER_b92a947f86,25,0,25,0.0
USER_aae3b1e516,25,0,25,0.0
USER_079da1cc7c,25,0,25,0.0
USER_d4c78391d7,25,0,25,0.0
USER_fd032a1cf5,25,0,25,0.0
USER_db215cf588,25,0,25,0.0
USER_f6e2531fcf,25,1,24,0.04
USER_dd9eafb5fa,25,0,25,0.0
USER_3bfe5a8600,14,1,13,0.071
USER_e7d354d1af,25,0,25,0.0
USER_1e438292d6,25,0,25,0.0
USER_26b6367681,25,0,25,0.0
USER_0fe79c45dd,25,2,23,0.08
USER_d65008a703,25,0,25,0.0
USER_085a14759a,25,0,25,0.0
USER_309213b38f,25,0,25,0.0
USER_2aae5f4208,25,0,25,0.0
USER_0ecc45f0e5,25,0,25,0.0
USER_22e09998af,25,0,25,0.0
USER_211b254088,25,0,25,0.0
USER_40c35c7515,25,0,25,0.0
USER_2cd9138fe6,25,1,24,0.04
USER_f69c777f5d,25,0,25,0.0
USER_9302e15c53,3,0,3,0.0
USER_965697273a,25,0,25,0.0
USER_855aab9086,16,0,16,0.0
USER_4d19a7d60e,25,0,25,0.0
USER_49b685d6bf,25,0,25,0.0
USER_d6f96216a4,25,0,25,0.0
USER_3d2dc2143a,25,0,25,0.0
USER_ffbe2060af,25,0,25,0.0
USER_55ddac7208,25,0,25,0.0
USER_9fca253b15,25,0,25,0.0
USER_eef529760b,25,0,25,0.0
USER_62076e0657,25,0,25,0.0
USER_d8ce079495,25,4,21,0.16
USER_efe67e0ea3,7,0,7,0.0
USER_25f71dbfca,25,0,25,0.0
USER_a4421eef3d,25,0,25,0.0
USER_d588a218e2,17,0,17,0.0
USER_5734230204,25,0,25,0.0
USER_1c46a9d533,25,0,25,0.0
USER_e3c6aed1d8,25,0,25,0.0
USER_5e0d903762,25,0,25,0.0
USER_ef2f1ce378,25,0,25,0.0
USER_3270b9a6a7,25,0,25,0.0
USER_448c03107e,11,0,11,0.0
USER_3338c5ed8e,25,0,25,0.0
USER_799a1c93c0,25,0,25,0.0
USER_c24aeeb842,25,0,25,0.0
USER_fbbd9dc1ba,25,0,25,0.0
USER_be85a9079d,25,0,25,0.0
USER_e11ecf2264,25,0,25,0.0
USER_397747b834,25,0,25,0.0
USER_ec235bc7db,25,0,25,0.0
USER_34bab33e40,25,1,24,0.04
USER_99865d87a4,25,1,24,0.04
USER_c86afcb2da,25,0,25,0.0
USER_268c8ecf3e,25,1,24,0.04
USER_338be22aff,25,1,24,0.04
USER_fa1d682fa3,25,0,25,0.0
USER_a6f37f394a,25,0,25,0.0
USER_b4fab2f623,25,1,24,0.04
USER_f6e63c6ca0,25,1,24,0.04
USER_065dc61011,25,1,24,0.04
USER_c92512e4df,25,0,25,0.0
USER_c47f3367bd,25,1,24,0.04
USER_7f94f34fc4,25,0,25,0.0
USER_65d33a7385,25,0,25,0.0
USER_bde0c47d31,25,1,24,0.04
USER_44713dccd1,9,1,8,0.111
USER_6880785990,25,0,25,0.0
USER_55619d3868,25,1,24,0.04
USER_20a8fcf514,25,0,25,0.0
USER_ed6233ae75,25,0,25,0.0
USER_af2df6263e,25,0,25,0.0
USER_183f8da92f,25,0,25,0.0
USER_19ceb20fbc,25,0,25,0.0
USER_9b2677397b,25,0,25,0.0
USER_1a72efe38a,25,0,25,0.0
USER_75585b359c,25,1,24,0.04
USER_d2e7922a0e,25,0,25,0.0
USER_7a7fa778c7,25,0,25,0.0
USER_f4f1c51543,25,0,25,0.0
USER_ef12b7c08d,25,0,25,0.0
USER_b97d2cda96,25,0,25,0.0
USER_a88dc84526,25,3,22,0.12
USER_e4faa1e826,25,0,25,0.0
USER_154e254712,25,0,25,0.0
USER_27ab2c25f7,25,0,25,0.0
USER_60092a0157,25,0,25,0.0
USER_f852a20c42,25,0,25,0.0
USER_992ea76508,25,0,25,0.0
