territorio,usuario,total_tweets,tweets_salud_mental,proporcion_salud_mental,clasificacion_usuario
Venezuela,USER_4037d67b4f,25,0,0.0,control
Venezuela,USER_011faf71db,25,0,0.0,control
Venezuela,USER_d007804a1a,25,0,0.0,control
Venezuela,USER_f91d4aee3a,25,0,0.0,control
Venezuela,USER_68b1b15d8e,25,0,0.0,control
Venezuela,USER_949e153324,25,0,0.0,control
Venezuela,USER_a15a3b71e0,3,0,0.0,control
Venezuela,USER_f336807852,18,0,0.0,control
Venezuela,USER_aadeb38b46,25,0,0.0,control
Venezuela,USER_49d470acd3,25,0,0.0,control
Venezuela,USER_86edf538e4,25,0,0.0,control
Venezuela,USER_597f4daf35,25,0,0.0,control
Venezuela,USER_400cf467de,25,1,0.04,control
Venezuela,USER_4a2b8a07bd,25,0,0.0,control
Venezuela,USER_10733c2e93,16,0,0.0,control
Venezuela,USER_b078e85758,25,0,0.0,control
Venezuela,USER_fa03d878f3,25,0,0.0,control
Venezuela,USER_407e9427fa,25,0,0.0,control
Venezuela,USER_fc2d8c77ab,25,1,0.04,control
Venezuela,USER_a81c8d9022,25,0,0.0,control
Venezuela,USER_14bd354d04,25,1,0.04,control
Venezuela,USER_82c0c70bc2,25,0,0.0,control
Venezuela,USER_9d6ac6be41,25,0,0.0,control
Venezuela,USER_1633eff932,25,0,0.0,control
Venezuela,USER_46e9d97c4f,25,0,0.0,control
Venezuela,USER_215ebccf15,25,0,0.0,control
Venezuela,USER_a077fa8def,11,0,0.0,control
Venezuela,USER_c1907329b7,25,0,0.0,control
Venezuela,USER_800e54664f,25,0,0.0,control
Venezuela,USER_4a85d10df2,25,1,0.04,control
Venezuela,USER_bade4cdd13,25,1,0.04,control
Venezuela,USER_40994b5dc7,25,0,0.0,control
Venezuela,USER_77919864bd,25,0,0.0,control
Venezuela,USER_d6f1003588,25,0,0.0,control
Venezuela,USER_b9497ec890,25,0,0.0,control
Venezuela,USER_09b454b619,25,0,0.0,control
Venezuela,USER_5b512f378d,25,1,0.04,control
Venezuela,USER_97253b6611,25,0,0.0,control
Venezuela,USER_090900e253,25,0,0.0,control
Venezuela,USER_2771fe67bf,25,0,0.0,control
Venezuela,USER_445c52a765,25,0,0.0,control
Venezuela,USER_56fd1a7eec,25,0,0.0,control
Venezuela,USER_5d4a7b9f3e,25,0,0.0,control
Venezuela,USER_f9c065370b,25,0,0.0,control
Venezuela,USER_01ed9c8c8f,25,0,0.0,control
Venezuela,USER_966162c540,25,0,0.0,control
Venezuela,USER_9ddecedbf4,25,0,0.0,control
Venezuela,USER_ed40d2d13d,25,0,0.0,control
Venezuela,USER_66cab7be86,25,0,0.0,control
Venezuela,USER_43f5b0df87,25,0,0.0,control
Venezuela,USER_27407d1492,25,0,0.0,control
Venezuela,USER_153a41e882,25,0,0.0,control
Venezuela,USER_e87fd56307,25,0,0.0,control
Venezuela,USER_e493ac21c8,25,0,0.0,control
Venezuela,USER_705d9c0ba7,25,0,0.0,control
Venezuela,USER_5dbdad3061,25,0,0.0,control
Venezuela,USER_c74796f3f9,25,0,0.0,control
Venezuela,USER_2f862c4100,25,1,0.04,control
Venezuela,USER_0bc1833520,25,0,0.0,control
Venezuela,USER_6433561f14,25,0,0.0,control
Venezuela,USER_ed621fbc89,25,0,0.0,control
Venezuela,USER_24d2753f8d,25,0,0.0,control
Venezuela,USER_c50540ff7c,25,0,0.0,control
Venezuela,USER_a9dece42ce,25,0,0.0,control
Venezuela,USER_64d77770ad,25,0,0.0,control
Venezuela,USER_09f8339696,25,0,0.0,control
Venezuela,USER_a97dc99d70,7,0,0.0,control
Venezuela,USER_dba67f55bd,25,0,0.0,control
Venezuela,USER_717303f2c9,25,0,0.0,control
