microtema,frecuencia,porcentaje
Contenido no interpretable,10,9.17
Estadísticas de redes sociales,6,5.5
Afecto personal,3,2.75
Reflexión personal,2,1.83
Contenido sexual explícito,2,1.83
Infidelidad,2,1.83
Deseos de pareja,2,1.83
Relaciones amorosas,2,1.83
Sensualidad,2,1.83
Consejos de vida,1,0.92
Autoestima,1,0.92
Anécdota personal,1,0.92
Humor,1,0.92
Consejos laborales,1,0.92
Crítica social,1,0.92
Reflexión sobre el amor,1,0.92
Crítica social/política,1,0.92
Resiliencia,1,0.92
Queja sobre redes sociales,1,0.92
Introspección,1,0.92
Auto-percepción,1,0.92
Vida doméstica,1,0.92
Expectativas de pareja,1,0.92
Crítica política,1,0.92
Resiliencia nacional,1,0.92
Reacción a injusticia,1,0.92
Reflexión personal/familiar,1,0.92
Política latinoamericana,1,0.92
Política y libertad,1,0.92
Sátira social,1,0.92
Mascotas,1,0.92
Crítica país/arte,1,0.92
Humor/vida vecinal,1,0.92
Queja cotidiana,1,0.92
Comportamiento en redes,1,0.92
Comida/social,1,0.92
Reflexión cotidiana,1,0.92
Crítica existencial,1,0.92
Actividad social,1,0.92
Despedida de lugar,1,0.92
Decepción o daño emocional,1,0.92
Motivación y superación,1,0.92
Extrañar a seres queridos,1,0.92
Afecto familiar,1,0.92
Decepción interpersonal,1,0.92
Afecto y admiración,1,0.92
Apoyo incondicional,1,0.92
Extrañar a alguien,1,0.92
Cuidado familiar,1,0.92
Apoyo pasado,1,0.92
Humor sobre embriaguez,1,0.92
Familia/agradecimiento,1,0.92
Entretenimiento/ocio,1,0.92
Opinión sobre violencia,1,0.92
Viajes y planes,1,0.92
Superación emocional,1,0.92
Lecciones de vida,1,0.92
Planes de viaje,1,0.92
Admiración,1,0.92
Relaciones interpersonales,1,0.92
Música,1,0.92
Riqueza y estatus,1,0.92
Admiración musical,1,0.92
Insultos personales,1,0.92
Ejercicio físico,1,0.92
Anhelo romántico,1,0.92
Crecimiento de redes sociales,1,0.92
Reflexión sobre la posesión,1,0.92
Hábito de escribir,1,0.92
Crítica a la búsqueda de estabilidad,1,0.92
Presión por decidir,1,0.92
Metáfora sobre problemas,1,0.92
Observación de crecimiento personal,1,0.92
Reflexión sobre el descuido,1,0.92
Anhelo de futuro,1,0.92
Superación del miedo,1,0.92
Reflexión sobre la identidad,1,0.92
Reflexión sobre la felicidad,1,0.92
Transición a la adultez,1,0.92
Cuestionamiento de valores,1,0.92
Visión de país ideal,1,0.92
Crítica a la hipocresía,1,0.92
Llamada a la razón,1,0.92
Reflexión sobre el futuro,1,0.92
Reflexión sobre la vida,1,0.92
Frustración con la autoridad,1,0.92
Reflexión sobre la humanidad,1,0.92
